id,category,ai_slop_pattern,severity,description
382,copy,No brand voice or personality in copy,high,Generic corporate tone
383,copy,Overly formal tone for consumer products,medium,Tone mismatch with audience
384,copy,Missing calls to action that create urgency,medium,Weak or missing CTAs
385,copy,No storytelling or customer journey narratives,high,Missing narrative structure
386,copy,Generic About Us pages with no real history,medium,Boilerplate company description
387,copy,Missing product-specific terminology,medium,Generic terms instead of product-specific language
388,copy,No microcopy for form fields buttons or empty states,medium,Missing helpful microcopy
389,copy,Overuse of superlatives without evidence,high,Claims without supporting evidence
390,copy,Copy that could apply to any company in the industry,critical,Non-differentiated messaging
391,copy,Overuse of we and our instead of you,medium,Company-focused instead of user-focused copy
392,copy,Missing benefit-oriented headlines,medium,Feature-focused instead of benefit-focused
393,copy,No social proof in copy,medium,Missing testimonials or metrics in copy
394,copy,Overly long paragraphs,medium,Dense text blocks instead of scannable copy
395,copy,Missing action-oriented button text,medium,Generic button labels like Submit or Click Here
396,icons,Oversized Lucide icons above every feature heading,high,The AI icon placement pattern
397,icons,Same icon library used exclusively,medium,No custom or mixed icon sources
398,icons,Icons that don't match the concept,medium,Icon doesn't relate to the feature it represents
399,icons,No icon size hierarchy,medium,All icons the same size
400,icons,Missing icon hover states,medium,Icons don't respond to interaction
401,icons,Inconsistent icon stroke weights,medium,Mixed icon styles with different stroke widths
402,icons,No custom brand icons,medium,Generic icons instead of brand-specific ones
403,icons,Icons used as decoration not communication,medium,Icons added for visual filler not meaning
404,icons,Missing icon accessibility attributes,medium,Icons without aria-hidden or aria-label
405,icons,Overuse of icon-only buttons without labels,high,Buttons with only icons and no text labels
406,icons,Icon + text redundancy,medium,Icon and text say the same thing unnecessarily
407,icons,Missing icon loading states,medium,Icons don't indicate loading or processing
408,icons,No icon color adaptation to context,medium,Icons don't change color based on state
409,icons,Default icon library colors,medium,Icons use library defaults instead of brand colors
410,icons,Missing icon animation on interaction,medium,Icons don't animate on click or hover
411,icons,Overuse of the same icons repeatedly,medium,Same icon used for different concepts
412,icons,Missing icon fallbacks,medium,Icons don't have fallbacks if they fail to load
413,icons,Icons too detailed for small sizes,medium,Complex icons that become illegible at small sizes
414,icons,No icon system or token-based sizing,medium,Icon sizes chosen ad hoc
415,icons,Missing dark mode icon variants,medium,Icons don't adapt to dark mode
416,icons,Inconsistent icon corner radii,medium,Mixed rounded and sharp icon styles
417,forms,Generic form layouts with no visual grouping,high,Forms with no logical grouping of related fields
418,forms,Missing inline validation,high,Validation only on submit
419,forms,No progressive form disclosure,medium,All fields visible at once regardless of relevance
420,forms,Missing field helper text,medium,No guidance on what to enter
421,forms,No input masking for formatted fields,medium,Phone dates and other formatted inputs unmasked
422,forms,Missing autocomplete attributes,medium,Forms don't leverage browser autocomplete
423,forms,No multi-step form progress indicator,medium,Multi-step forms without progress visualization
424,forms,Missing save draft functionality,medium,Long forms without save and resume
425,forms,No file upload drag and drop,medium,File uploads only through button click
426,forms,Missing character counters,medium,Text areas without character limits shown
427,forms,No password strength indicator,medium,Password fields without strength feedback
428,forms,Missing form auto-save,medium,Form data lost on navigation
429,forms,No conditional field logic,medium,All fields shown regardless of previous answers
430,forms,Missing keyboard navigation within forms,medium,Forms not fully keyboard accessible
431,forms,No form data persistence,medium,Form data lost on page refresh
432,forms,Missing success confirmation after submission,medium,No clear confirmation that form was submitted
433,forms,No error recovery guidance,medium,Error messages don't tell users how to fix issues
434,forms,Missing required field indicators,medium,Required fields not clearly marked
435,forms,No form layout optimization for mobile,medium,Desktop form layout on mobile
436,forms,Missing search within large forms,medium,Long forms without search capability
437,tables,Data tables with no column sorting,high,Static tables without sort capability
438,tables,Missing column resizing,medium,Fixed column widths that don't adapt
439,tables,No row selection,medium,Tables without row selection capability
440,tables,Missing pagination or infinite scroll,medium,All rows loaded at once
441,tables,No column visibility toggle,medium,Can't show or hide columns
442,tables,Missing row actions,medium,No inline actions on table rows
443,tables,No table density controls,medium,Can't adjust table row height
444,tables,Missing table export functionality,medium,Can't export table data
445,tables,No table search or filtering,medium,Can't search within table data
446,tables,Missing table column reordering,medium,Fixed column order
447,tables,No table state persistence,medium,Table preferences not saved
448,tables,Missing table header tooltips,medium,Column headers without explanation
449,tables,No table loading state,medium,Tables show empty state while loading
450,tables,Missing table error state,medium,Tables don't handle data loading errors
451,tables,No table empty state design,medium,Empty tables show nothing useful
452,tables,Missing table row expansion,medium,Can't expand rows for more detail
453,tables,No table grouping or aggregation,medium,Can't group or summarize table data
454,tables,Missing table column pinning,medium,Can't pin columns for horizontal scrolling
455,tables,No table virtualization for large datasets,medium,Performance issues with large tables
456,tables,Missing table accessibility features,medium,Tables not fully accessible
457,dashboard,Dashboards with no data hierarchy,high,All metrics displayed with equal importance
458,dashboard,Missing contextual data comparisons,medium,No period-over-period comparisons
459,dashboard,No dashboard customization,medium,Users can't rearrange or hide widgets
460,dashboard,Missing data refresh indicators,medium,No indication of data freshness
461,dashboard,No dashboard sharing,medium,Can't share dashboard views
462,dashboard,Missing alert thresholds,medium,No alerts when metrics cross thresholds
463,dashboard,Missing dashboard templates,medium,No starting templates for common use cases
464,dashboard,No drill-down capability,medium,Can't click into metrics for detail
465,dashboard,Missing dashboard layout presets,medium,One-size-fits-all dashboard layout
466,dashboard,No dashboard export,medium,Can't export dashboard as PDF or image
467,dashboard,Missing real-time indicators,medium,No indication of real-time vs cached data
468,dashboard,Missing data source attribution,medium,Can't tell where dashboard data comes from
469,dashboard,No dashboard annotations,medium,Can't add notes or markers to charts
470,dashboard,Missing dashboard versioning,medium,Can't save multiple dashboard configurations
471,dashboard,Missing cross-dashboard navigation,medium,Can't easily navigate between related dashboards
472,dashboard,Missing dashboard performance metrics,medium,Dashboard doesn't show its own performance
473,dashboard,Missing data anomaly highlighting,medium,Anomalies not visually highlighted
474,dashboard,Missing dashboard onboarding,medium,No guidance for new users on dashboard
475,dashboard,Missing dashboard search,medium,Can't search across dashboard content
476,pricing,Pricing tables with feature comparison rows,high,Long feature comparison tables in pricing
477,pricing,Annual vs monthly toggle without savings callout,medium,Toggle doesn't highlight savings
478,pricing,Missing money-back guarantee,medium,No risk reversal in pricing
479,pricing,No pricing calculator,medium,Can't estimate costs based on usage
480,pricing,Missing enterprise contact CTA,medium,Enterprise pricing hidden without contact form
481,pricing,No pricing page FAQ,medium,Pricing page without common questions answered
482,pricing,Missing feature availability matrix,medium,Can't see which features are in which plan
483,pricing,No pricing page social proof,medium,Pricing page lacks testimonials or logos
484,pricing,Missing pricing page comparison with competitors,medium,No competitive positioning on pricing page
485,pricing,No free tier or freemium option,medium,All plans require payment
486,pricing,Missing pricing page trial CTA,medium,No trial option on pricing page
487,pricing,No pricing page feature highlights,medium,Features listed without explanation
488,pricing,Missing pricing page ROI calculator,medium,Can't calculate return on investment
489,pricing,No pricing page case studies,medium,Missing proof of value on pricing page
490,pricing,Missing pricing page plan comparison tool,medium,Can't compare plans side by side
491,pricing,No pricing page upgrade path clarity,medium,Not clear what you gain by upgrading
492,pricing,Missing pricing page add-on information,medium,Add-ons not clearly presented
493,pricing,No pricing page discount visibility,medium,Discounts not prominently displayed
494,pricing,Missing pricing page currency selector,medium,Only one currency shown
495,pricing,No pricing page tax information,medium,Prices don't indicate tax inclusion
496,testimonials,Testimonials with no verifiable identity,high,Testimonials without real names or photos
497,testimonials,Missing testimonial context,medium,Testimonials without company or role
498,testimonials,Generic testimonial language,medium,Testimonials that sound templated
499,testimonials,Missing testimonial results or metrics,medium,Testimonials without specific outcomes
500,testimonials,Missing video testimonials,medium,Only text testimonials
501,testimonials,Missing testimonial recency,medium,Testimonials without dates
502,testimonials,Missing testimonial diversity,medium,Testimonials from similar-looking people
503,testimonials,Missing testimonial variety,medium,All testimonials say the same thing
504,testimonials,Missing testimonial placement strategy,medium,Testimonials placed without strategic intent
505,testimonials,Missing testimonial credibility indicators,medium,Missing LinkedIn links or verification
506,testimonials,Missing negative testimonial handling,medium,Only positive testimonials shown
507,testimonials,Missing testimonial categorization,medium,Testimonials not organized by use case
508,testimonials,Missing testimonial call-to-action,medium,Testimonials don't lead to next action
509,testimonials,Missing testimonial schema markup,medium,Testimonials not marked up for SEO
510,testimonials,Missing testimonial A/B testing,medium,Testimonials not tested for effectiveness
511,testimonials,Missing testimonial freshness,medium,Same testimonials shown to all users
512,testimonials,Missing testimonial relevance,medium,Testimonials not matched to user context
513,testimonials,Missing testimonial attribution,medium,Testimonials without source attribution
514,testimonials,Missing testimonial formatting variety,medium,All testimonials in the same format
515,testimonials,Missing testimonial integration,medium,Testimonials feel bolted on not integrated
516,footer,Generic four-column footer layout,high,Product Company Resources Legal columns
517,footer,Missing footer newsletter signup,medium,No email capture in footer
518,footer,Missing footer language selector,medium,No language switching in footer
519,footer,Missing footer copyright year,medium,Missing or outdated copyright year
520,footer,Missing footer sitemap,medium,Footer doesn't serve as a sitemap
521,footer,Missing footer contact information,medium,No contact details in footer
522,footer,Missing footer accessibility statement,medium,No accessibility commitment in footer
523,footer,Missing footer privacy policy link,medium,Privacy policy not easily accessible
524,footer,Missing footer cookie preferences,medium,Can't manage cookie preferences from footer
525,footer,Missing footer back-to-top link,medium,No easy way to return to top from footer
526,footer,Missing footer social proof,medium,Footer lacks trust indicators
527,footer,Missing footer app download links,medium,No app store links in footer
528,footer,Missing footer RSS feed link,medium,No RSS feed link
529,footer,Missing footer status page link,medium,Service status not linked from footer
530,footer,Missing footer changelog link,medium,Product changes not linked from footer
531,footer,Missing footer community links,medium,No community or forum links
532,footer,Missing footer press or media links,medium,No press kit or media mentions
533,footer,Missing footer careers link,medium,No link to job openings
534,footer,Missing footer partner or integration links,medium,No partner ecosystem links
535,footer,Missing footer security or compliance badges,medium,No trust badges in footer
536,footer,Missing footer feedback mechanism,medium,No way to give site feedback from footer
537,hero,Centered hero with headline subtitle and CTA,critical,The most predictable hero pattern
538,hero,Hero with dashboard screenshot,high,Screenshot of a dashboard as the hero visual
539,hero,Hero with animated gradient background,medium,Gradient animation behind hero text
540,hero,Hero with no clear value proposition,high,Hero doesn't communicate what the product does
541,hero,Hero with too many CTAs,medium,Multiple competing CTAs in hero
542,hero,Hero with no visual hierarchy,medium,Hero elements compete for attention
543,hero,Hero with generic stock imagery,medium,Stock photos in hero sections
544,hero,Hero with no social proof,medium,Hero lacks trust indicators
545,hero,Hero with no product demonstration,medium,Hero doesn't show the product
546,hero,Hero with vague headline,high,Headline that doesn't communicate value
547,hero,Hero with no secondary action,medium,Only one CTA in hero
548,hero,Hero with no scroll indicator,medium,No indication that there's more content below
549,hero,Hero with no brand personality,medium,Hero could belong to any company
550,hero,Hero with no animation or motion,medium,Static hero with no movement
551,hero,Hero with no responsive adaptation,medium,Hero doesn't adapt well to mobile
552,hero,Hero with no loading optimization,medium,Hero images not optimized for fast loading
553,hero,Hero with no A/B testing consideration,medium,Hero not designed for experimentation
554,hero,Hero with no seasonal or temporal variation,medium,Hero is static year-round
555,hero,Hero with no personalization,medium,Same hero for all visitors
556,hero,Hero with no clear target audience,medium,Hero doesn't speak to a specific audience
557,hero,Hero with no urgency or scarcity,medium,Hero doesn't create motivation to act
558,cta,Generic Get Started button text,high,The most common and least descriptive CTA
559,cta,Missing CTA urgency,medium,CTAs don't create urgency
560,cta,Missing CTA specificity,medium,CTAs don't describe what happens next
561,cta,Missing CTA placement strategy,medium,CTAs placed without strategic intent
562,cta,Missing CTA color contrast,medium,CTAs don't stand out from surrounding content
563,cta,Missing CTA size hierarchy,medium,All CTAs are the same size
564,cta,Missing CTA hover state,medium,CTAs don't respond to hover
565,cta,Missing CTA loading state,medium,CTAs don't show loading during action
566,cta,Missing CTA disabled state,medium,CTAs don't show when unavailable
567,cta,Missing CTA accessibility,medium,CTAs not fully accessible
568,cta,Missing CTA mobile optimization,medium,CTAs not optimized for mobile
569,cta,Missing CTA A/B testing,medium,CTAs not tested for effectiveness
570,cta,Missing CTA personalization,medium,Same CTA for all users
571,cta,Missing CTA contextual variation,medium,Same CTA text across all pages
572,cta,Missing CTA secondary options,medium,Only one CTA option presented
573,cta,Missing CTA social proof proximity,medium,CTAs not placed near trust indicators
574,cta,Missing CTA risk reversal,medium,CTAs don't reduce perceived risk
575,cta,Missing CTA benefit reinforcement,medium,CTAs don't reinforce the benefit
576,cta,Missing CTA microcopy,medium,No supporting text near CTAs
577,cta,Missing CTA animation,medium,CTAs don't draw attention through motion
578,loading,Spinner for everything,high,Generic circular spinner for all loading states
579,loading,Missing skeleton screens,high,No content-shaped loading placeholders
580,loading,Missing loading progress indicators,medium,No indication of loading progress
581,loading,Missing optimistic UI updates,medium,UI doesn't update optimistically
582,loading,Missing staggered loading,medium,All content loads simultaneously
583,loading,Missing loading state variety,medium,Same loading state for all operations
584,loading,Missing loading error states,medium,Loading failures not handled gracefully
585,loading,Missing loading timeout handling,medium,Loading states that never end
586,loading,Missing loading cancellation,medium,Can't cancel in-progress loads
587,loading,Missing loading priority,medium,All content loads with equal priority
588,loading,Missing loading animation variety,medium,Same animation for all loading states
589,loading,Missing loading skeleton personalization,medium,Skeleton screens don't match user's layout
590,loading,Missing loading state messaging,medium,No context about what's loading
591,loading,Missing loading state branding,medium,Loading states don't reinforce brand
592,loading,Missing loading state entertainment,medium,Boring loading states
593,loading,Missing loading state education,medium,Loading states don't teach about the product
594,loading,Missing loading state anticipation,medium,Loading states don't build anticipation
595,loading,Missing loading state progress estimation,medium,No time estimates for loading
596,loading,Missing loading state retry,medium,Failed loads can't be retried
597,loading,Missing loading state fallback,medium,No fallback content when loading fails
598,empty,Generic empty state message,medium,Empty states with generic messages
599,empty,Missing empty state illustration,medium,Empty states without visual elements
600,empty,Missing empty state CTA,medium,Empty states don't guide next action
601,empty,Missing empty state personalization,medium,Same empty state for all users
602,empty,Missing empty state education,medium,Empty states don't explain the feature
603,empty,Missing empty state encouragement,medium,Empty states don't motivate action
604,empty,Missing empty state variety,medium,Same empty state for all empty scenarios
605,empty,Missing empty state search suggestion,medium,Empty search results don't suggest alternatives
606,empty,Missing empty state import option,medium,Empty states don't offer data import
607,empty,Missing empty state template option,medium,Empty states don't offer templates
608,empty,Missing empty state onboarding,medium,Empty states don't onboard new users
609,empty,Missing empty state animation,medium,Static empty states
610,empty,Missing empty state accessibility,medium,Empty states not accessible
611,empty,Missing empty state mobile optimization,medium,Empty states not optimized for mobile
612,empty,Missing empty state A/B testing,medium,Empty states not tested
613,empty,Missing empty state contextual help,medium,Empty states don't provide contextual help
614,empty,Missing empty state social proof,medium,Empty states don't show what others have done
615,empty,Missing empty state urgency,medium,Empty states don't create motivation
616,error,Generic error message,medium,Error messages without specific guidance
617,error,Missing error illustration,medium,Error states without visual elements
618,error,Missing error recovery guidance,medium,Error messages don't tell users how to fix
619,error,Missing error state personalization,medium,Same error state for all users
620,error,Missing error state variety,medium,Same error state for all errors
621,error,Missing error state animation,medium,Static error states
622,error,Missing error state accessibility,medium,Error states not accessible
623,error,Missing error state mobile optimization,medium,Error states not optimized for mobile
624,error,Missing error state context,medium,Error states don't show what went wrong
625,error,Missing error state retry,medium,Can't retry failed operations
626,error,Missing error state support,medium,Error states don't offer support options
627,error,Missing error state logging,medium,Errors not logged for debugging
628,error,Missing error state escalation,medium,Errors don't escalate to support
629,error,Missing error state prevention,medium,Errors not prevented proactively
630,error,Missing error state education,medium,Error states don't educate users
631,error,Missing error state humor,medium,Error states are dry and unmemorable
632,error,Missing error state branding,medium,Error states don't reinforce brand
633,error,Missing error state metrics,medium,Error states not tracked for improvement
634,error,Missing error state A/B testing,medium,Error states not tested
635,error,Missing error state localization,medium,Error states not localized
636,search,Generic search bar in top-right,medium,Search always in the same location
637,search,Missing search autocomplete,medium,Search doesn't suggest results
638,search,Missing search filters,medium,Search results can't be filtered
639,search,Missing search result highlighting,medium,Search terms not highlighted in results
640,search,Missing search result count,medium,Number of results not shown
641,search,Missing search recent searches,medium,No recent search history
642,search,Missing search popular searches,medium,No popular or trending searches
643,search,Missing search empty state,medium,Empty search results not helpful
644,search,Missing search keyboard navigation,medium,Search results not keyboard accessible
645,search,Missing search result categorization,medium,Search results not grouped by type
646,search,Missing search result sorting,medium,Can't sort search results
647,search,Missing search result pagination,medium,All search results loaded at once
648,search,Missing search result preview,medium,Can't preview search results
649,search,Missing search result saving,medium,Can't save search results
650,search,Missing search result sharing,medium,Can't share search results
651,search,Missing search result export,medium,Can't export search results
652,search,Missing search result analytics,medium,Search results not tracked
653,search,Missing search result relevance,medium,Search results not personalized
654,search,Missing search result freshness,medium,Search results not sorted by date
655,search,Missing search result typo tolerance,medium,Search doesn't handle typos
656,modal,Generic modal with backdrop blur,medium,Every modal uses backdrop blur
657,modal,Missing modal focus trap,high,Focus escapes modal boundaries
658,modal,Missing modal close on escape,medium,Modal doesn't close on Escape key
659,modal,Missing modal close on backdrop click,medium,Modal doesn't close on backdrop click
660,modal,Missing modal scroll lock,medium,Background scrolls when modal is open
661,modal,Missing modal size variants,medium,All modals are the same size
662,modal,Missing modal animation,medium,Modals appear without transition
663,modal,Missing modal accessibility,medium,Modals not fully accessible
664,modal,Missing modal mobile optimization,medium,Modals not optimized for mobile
665,modal,Missing modal stacking,medium,Can't open modals on top of modals
666,modal,Missing modal persistence,medium,Modal state lost on close
667,modal,Missing modal confirmation,medium,Destructive modals without confirmation
668,modal,Missing modal form validation,medium,Modal forms not validated
669,modal,Missing modal loading state,medium,Modal loading not indicated
670,modal,Missing modal error state,medium,Modal errors not handled gracefully
671,modal,Missing modal empty state,medium,Modal empty states not designed
672,modal,Missing modal keyboard shortcuts,medium,Modal keyboard shortcuts not documented
673,modal,Missing modal ARIA attributes,medium,Modal ARIA attributes missing
674,modal,Missing modal return focus,medium,Focus not returned to trigger on close
675,modal,Missing modal title,medium,Modal without clear title
676,tooltip,Generic tooltip with delay,medium,Default tooltip behavior
677,tooltip,Missing tooltip accessibility,medium,Tooltips not accessible to keyboard users
678,tooltip,Missing tooltip mobile handling,medium,Tooltips don't work well on mobile
679,tooltip,Missing tooltip positioning,medium,Tooltips overlap with content
680,tooltip,Missing tooltip animation,medium,Tooltips appear without transition
681,tooltip,Missing tooltip rich content,medium,Tooltips only support plain text
682,tooltip,Missing tooltip persistence,medium,Tooltips disappear too quickly
683,tooltip,Missing tooltip grouping,medium,Can't group related tooltips
684,tooltip,Missing tooltip customization,medium,Tooltip styles can't be customized
685,tooltip,Missing tooltip ARIA attributes,medium,Tooltip ARIA attributes missing
686,tooltip,Missing tooltip keyboard support,medium,Tooltips not accessible via keyboard
687,tooltip,Missing tooltip touch support,medium,Tooltips don't work with touch
688,tooltip,Missing tooltip overflow handling,medium,Tooltips overflow viewport
689,tooltip,Missing tooltip z-index management,medium,Tooltips appear behind other elements
690,tooltip,Missing tooltip delay customization,medium,Tooltip delay can't be adjusted
691,tooltip,Missing tooltip trigger customization,medium,Tooltip trigger can't be customized
692,tooltip,Missing tooltip content truncation,medium,Long tooltip content not truncated
693,tooltip,Missing tooltip arrow customization,medium,Tooltip arrow can't be customized
694,tooltip,Missing tooltip theme support,medium,Tooltips don't support themes
695,tooltip,Missing tooltip performance optimization,medium,Tooltips cause layout recalculation
696,notification,Generic toast notification,medium,All notifications look the same
697,notification,Missing notification grouping,medium,Notifications not grouped
698,notification,Missing notification priority,medium,All notifications have equal priority
699,notification,Missing notification persistence,medium,Notifications lost on page change
700,notification,Missing notification action,medium,Notifications don't offer actions
701,notification,Missing notification dismissal,medium,Notifications can't be dismissed
702,notification,Missing notification animation,medium,Notifications appear without transition
703,notification,Missing notification accessibility,medium,Notifications not announced to screen readers
704,notification,Missing notification mobile optimization,medium,Notifications not optimized for mobile
705,notification,Missing notification stacking,medium,Notifications overlap each other
706,notification,Missing notification timeout,medium,Notifications don't auto-dismiss
707,notification,Missing notification customization,medium,Notification styles can't be customized
708,notification,Missing notification history,medium,No notification history
709,notification,Missing notification preferences,medium,Can't customize notification settings
710,notification,Missing notification sound,medium,Notifications don't have sound options
711,notification,Missing notification badge,medium,Notification count not shown
712,notification,Missing notification categorization,medium,Notifications not categorized
713,notification,Missing notification search,medium,Can't search notifications
714,notification,Missing notification export,medium,Can't export notification history
715,notification,Missing notification analytics,medium,Notifications not tracked for effectiveness
716,notification,Missing notification A/B testing,medium,Notification styles not tested
717,card,Generic card with shadow and rounded corners,medium,The default AI card pattern
718,card,Missing card hover state,medium,Cards don't respond to hover
719,card,Missing card action menu,medium,Card actions not accessible
720,card,Missing card selection,medium,Can't select cards
721,card,Missing card drag and drop,medium,Can't reorder cards by drag
722,card,Missing card size variants,medium,All cards are the same size
723,card,Missing card layout variants,medium,All cards have the same layout
724,card,Missing card loading state,medium,Cards don't show loading
725,card,Missing card error state,medium,Card errors not handled
726,card,Missing card empty state,medium,Empty card states not designed
727,card,Missing card accessibility,medium,Cards not fully accessible
728,card,Missing card mobile optimization,medium,Cards not optimized for mobile
729,card,Missing card animation,medium,Cards appear without transition
730,card,Missing card grouping,medium,Can't group related cards
731,card,Missing card expansion,medium,Can't expand cards for detail
732,card,Missing card sharing,medium,Can't share individual cards
733,card,Missing card export,medium,Can't export card content
734,card,Missing card customization,medium,Card styles can't be customized
735,card,Missing card context menu,medium,No context menu on cards
736,card,Missing card keyboard navigation,medium,Cards not keyboard accessible
737,card,Missing card focus state,medium,Cards don't show focus
738,sidebar,Generic sidebar with collapsible sections,medium,Standard collapsible sidebar
739,sidebar,Missing sidebar search,medium,Can't search sidebar content
740,sidebar,Missing sidebar active state,medium,Active sidebar item not indicated
741,sidebar,Missing sidebar collapse state,medium,Sidebar state not persisted
742,sidebar,Missing sidebar mobile handling,medium,Sidebar not optimized for mobile
743,sidebar,Missing sidebar customization,medium,Can't customize sidebar content
744,sidebar,Missing sidebar keyboard navigation,medium,Sidebar not keyboard accessible
745,sidebar,Missing sidebar accessibility,medium,Sidebar not fully accessible
746,sidebar,Missing sidebar animation,medium,Sidebar appears without transition
747,sidebar,Missing sidebar nesting,medium,Can't nest sidebar items
748,sidebar,Missing sidebar badges,medium,Sidebar items don't show counts
749,sidebar,Missing sidebar icons,medium,Sidebar items lack icons
750,sidebar,Missing sidebar tooltips,medium,Truncated sidebar items lack tooltips
751,sidebar,Missing sidebar drag and drop,medium,Can't reorder sidebar items
752,sidebar,Missing sidebar context menu,medium,Can't right-click sidebar items
753,sidebar,Missing sidebar keyboard shortcuts,medium,Keyboard shortcuts not shown
754,sidebar,Missing sidebar user profile,medium,User profile not in sidebar
755,sidebar,Missing sidebar notifications,medium,Notifications not in sidebar
756,sidebar,Missing sidebar search results,medium,Search results not shown in sidebar
757,sidebar,Missing sidebar recent items,medium,Recent items not shown
758,sidebar,Missing sidebar favorites,medium,Favorites not shown in sidebar
759,navbar,Generic sticky navbar with logo and links,medium,Standard navbar pattern
760,navbar,Missing navbar scroll behavior,medium,Navbar doesn't adapt on scroll
761,navbar,Missing navbar active state,medium,Active page not indicated
762,navbar,Missing navbar mobile handling,medium,Navbar not optimized for mobile
763,navbar,Missing navbar search,medium,Search not in navbar
764,navbar,Missing navbar notifications,medium,Notifications not in navbar
765,navbar,Missing navbar user menu,medium,User menu not in navbar
766,navbar,Missing navbar keyboard navigation,medium,Navbar not keyboard accessible
767,navbar,Missing navbar accessibility,medium,Navbar not fully accessible
768,navbar,Missing navbar animation,medium,Navbar appears without transition
769,navbar,Missing navbar transparency,medium,Navbar doesn't adapt to content
770,navbar,Missing navbar shadow on scroll,medium,Navbar doesn't show shadow on scroll
771,navbar,Missing navbar hide on scroll down,medium,Navbar doesn't hide when scrolling down
772,navbar,Missing navbar progress indicator,medium,Reading progress not shown
773,navbar,Missing navbar language switcher,medium,Language not switchable from navbar
774,navbar,Missing navbar theme toggle,medium,Can't toggle theme from navbar
775,navbar,Missing navbar breadcrumb,medium,Breadcrumbs not in navbar
776,navbar,Missing navbar context awareness,medium,Navbar doesn't adapt to page context
777,navbar,Missing navbar keyboard shortcuts,medium,Keyboard shortcuts not accessible
778,navbar,Missing navbar CTA,medium,Navbar lacks clear CTA
779,navbar,Missing navbar social proof,medium,Navbar lacks trust indicators
780,navbar,Missing navbar personalization,medium,Same navbar for all users
781,buttons,Generic filled button with rounded corners,medium,Default button pattern
782,buttons,Missing button size variants,medium,Only one button size
783,buttons,Missing button style variants,medium,Only filled buttons no outlined or ghost
784,buttons,Missing button icon support,medium,Buttons don't support icons
785,buttons,Missing button loading state,medium,Buttons don't show loading
786,buttons,Missing button disabled state,medium,Buttons don't show disabled clearly
787,buttons,Missing button hover state,medium,Buttons don't respond to hover
788,buttons,Missing button active state,medium,Buttons don't show pressed state
789,buttons,Missing button focus state,medium,Buttons don't show focus
790,buttons,Missing button keyboard support,medium,Buttons not fully keyboard accessible
791,buttons,Missing button accessibility,medium,Buttons not fully accessible
792,buttons,Missing button animation,medium,Buttons appear without transition
793,buttons,Missing button group,medium,Can't group related buttons
794,buttons,Missing button dropdown,medium,Buttons don't support dropdown menus
795,buttons,Missing button toggle,medium,Buttons don't support toggle state
796,buttons,Missing button destructive variant,medium,No destructive button style
797,buttons,Missing button link variant,medium,No link-style button
798,buttons,Missing button block variant,medium,Can't make full-width buttons
799,buttons,Missing button pill variant,medium,Can't make pill-shaped buttons
800,buttons,Missing button square variant,medium,Can't make square buttons
801,inputs,Generic text input with border,medium,Default input pattern
802,inputs,Missing input size variants,medium,Only one input size
803,inputs,Missing input validation state,medium,Inputs don't show validation state
804,inputs,Missing input helper text,medium,Inputs lack helper text
805,inputs,Missing input label,medium,Inputs lack visible labels
806,inputs,Missing input placeholder,medium,Inputs lack helpful placeholders
807,inputs,Missing input prefix suffix,medium,Inputs don't support prefix or suffix
808,inputs,Missing input icon,medium,Inputs don't support icons
809,inputs,Missing input clear button,medium,Can't clear input with one click
810,inputs,Missing input password toggle,medium,Can't toggle password visibility
811,inputs,Missing input character counter,medium,No character count on text inputs
812,inputs,Missing input autocomplete,medium,Inputs don't leverage autocomplete
813,inputs,Missing input masking,medium,Inputs don't mask formatted input
814,inputs,Missing input search variant,medium,No search-specific input
815,inputs,Missing input number variant,medium,No number-specific input
816,inputs,Missing input date variant,medium,No date-specific input
817,inputs,Missing input file variant,medium,No file-specific input
818,inputs,Missing input textarea variant,medium,No textarea variant
819,inputs,Missing input select variant,medium,No select variant
820,inputs,Missing input checkbox variant,medium,No checkbox variant
821,inputs,Missing input radio variant,medium,No radio variant
822,inputs,Missing input toggle variant,medium,No toggle variant
823,inputs,Missing input slider variant,medium,No slider variant
824,inputs,Missing input color variant,medium,No color picker variant
825,inputs,Missing input range variant,medium,No range input variant
826,gradients,Linear gradient from top-left to bottom-right,medium,Default gradient direction
827,gradients,Missing radial gradients,medium,Only linear gradients used
828,gradients,Missing conic gradients,medium,Conic gradients never used
829,gradients,Missing gradient animation,medium,Static gradients only
830,gradients,Missing gradient mesh,medium,No mesh gradients
831,gradients,Missing gradient overlay on images,medium,Images without gradient overlays
832,gradients,Missing gradient text,medium,Gradient text not used
833,gradients,Missing gradient borders,medium,Gradient borders not used
834,gradients,Missing gradient backgrounds,medium,Gradient backgrounds not used creatively
835,gradients,Missing gradient accessibility,medium,Gradients don't meet contrast requirements
836,gradients,Missing gradient performance,medium,Gradients cause performance issues
837,gradients,Missing gradient fallback,medium,No fallback for gradient support
838,gradients,Missing gradient customization,medium,Gradients can't be customized
839,gradients,Missing gradient tokens,medium,Gradients not tokenized
840,gradients,Missing gradient variety,medium,Same gradient used everywhere
841,gradients,Missing gradient context,medium,Gradients don't adapt to context
842,gradients,Missing gradient brand alignment,medium,Gradients don't match brand
843,gradients,Missing gradient seasonal variation,medium,Gradients don't change with seasons
844,gradients,Missing gradient temporal variation,medium,Gradients don't change with time
845,gradients,Missing gradient personalization,medium,Same gradient for all users
846,gradients,Missing gradient A/B testing,medium,Gradients not tested
