ID,Category,Design Element,Description,Human Quality Signal
374,Icon,Paper cut icons,Icons styled as layered paper cutouts,Paper craft
375,Icon,Origami icons,Icons styled as folded paper shapes,Origami
376,Icon,Paint stroke icons,Icons made from visible paint strokes,Painterly
377,Icon,Marker pen icons,Icons drawn with marker pen strokes,Everyday tool
378,Icon,Crayon icons,Icons drawn in crayon,Childhood craft
379,Icon,Pencil sketch icons,Icons sketched in pencil with visible grain,Drawing tool
380,Icon,Hand-lettered icons,Icons incorporating hand-lettered elements,Calligraphy
381,Photography,Vintage film treatment,Photos with film grain and color cast,Analog photography
382,Photography,Instant photo aesthetic,Photos styled as polaroid or instant prints,Instant photography
383,Photography,Darkroom print look,Photos with darkroom print characteristics,Darkroom craft
384,Photography,Hand-tinted photos,Photos with hand-applied color tints,Hand coloring
385,Photography,Contact sheet layout,Photos arranged as contact sheets,Photography process
386,Photography,Photo album spread,Photos arranged as album pages,Memory keeping
387,Photography,Light leak effects,Photos with analog light leak artifacts,Film artifact
388,Photography,Double exposure,Photos with double exposure effect,In-camera technique
389,Photography,Cyanotype treatment,Photos with cyanotype blue tone,Alternative process
390,Photography,Sepia tone treatment,Photos with warm sepia toning,Historical process
391,Photography,Torn photo edges,Photos with torn edge effects,Physical photo
392,Photography,Photo corner mounting,Photos with visible mounting corners,Album craft
393,Photography,Developing strip effect,Photos styled as film developing strips,Film processing
394,Photography,Slide mount frames,Photos in slide mount frames,Slide projection
395,Photography,Grainy black and white,High grain black and white treatment,Film photography
396,Photography,Hand-developed look,Photos with uneven development marks,Manual processing
397,Photography,Pinhole camera effect,Photos with pinhole camera softness,Alternative camera
398,Photography,Lomo camera treatment,Photos with lomo camera vignette and color,Toy camera
399,Photography,Daguerreotype treatment,Photos styled as daguerreotype plates,Early photography
400,Photography,Photogram effect,Photos with photogram shadow silhouettes,Cameraless photography
401,Animation,Hand-drawn frame animation,Animations with visible hand-drawn frames,Traditional animation
402,Animation,Stop motion feel,Animations with stop motion step timing,Stop motion craft
403,Animation,Claymation style,Animations styled as claymation,Clay animation
404,Animation,Paper cutout animation,Animations styled as paper cutouts,Paper craft animation
405,Animation,Puppet animation,Animations with puppet joint movement,Marionette
406,Animation,Flip book animation,Animations with flip book page-turn feel,Flip book
407,Animation,Whiteboard animation,Animations that look drawn on whiteboard,Whiteboard drawing
408,Animation,Chalkboard animation,Animations drawn in chalk on chalkboard,Chalk drawing
409,Animation,Ink wash animation,Animations with ink wash spreading effects,Ink medium
410,Animation,Watercolor animation,Animations with watercolor wash effects,Paint animation
411,Animation,Sand animation,Animations styled as sand art,Sand art
412,Animation,Shadow puppet animation,Animations styled as shadow puppets,Shadow theater
413,Animation,Embroidery animation,Animations with embroidery stitch effects,Needlework
414,Animation,Weaving animation,Animations with weaving thread effects,Textile craft
415,Animation,Pottery wheel animation,Animations styled as pottery wheel forming,Pottery
416,Animation,Wood carving animation,Animations that look carved from wood,Wood carving
417,Animation,Metal forging animation,Animations styled as metal being forged,Blacksmith
418,Animation,Glass blowing animation,Animations styled as glass being blown,Glass craft
419,Animation,Origami animation,Animations with paper folding movements,Origami
420,Animation,Calligraphy animation,Animations of calligraphy being written,Writing art
421,3D Depth,Hand-modeled 3D objects,3D objects with visible hand-modeling marks,Sculpting
422,3D Depth,Clay render style,3D objects with clay material appearance,Clay modeling
423,3D Depth,Wood texture 3D,3D objects with hand-carved wood texture,Wood carving
424,3D Depth,Ceramic 3D objects,3D objects with glazed ceramic appearance,Pottery
425,3D Depth,Fabric 3D objects,3D objects with woven fabric texture,Textile
426,3D Depth,Paper 3D objects,3D objects styled as paper constructions,Paper craft
427,3D Depth,Layered paper depth,Depth created through layered paper cutouts,Paper layering
428,3D Depth,Shadow box depth,Depth styled as shadow box display,Shadow box
429,3D Depth,Diorama style,3D scenes styled as miniature dioramas,Miniature craft
430,3D Depth,Miniature world,3D objects styled as miniature models,Model making
431,3D Depth,Isometric hand-drawn,Isometric views with hand-drawn quality,Technical drawing
432,3D Depth,Hand-painted 3D textures,3D objects with hand-painted textures,Texture painting
433,3D Depth,Imperfect 3D surfaces,3D surfaces with intentional imperfections,Hand-modeled
434,3D Depth,Visible tool marks 3D,3D objects with visible sculpting tool marks,Sculpting process
435,3D Depth,Organic 3D shapes,3D shapes with organic non-geometric forms,Natural forms
436,3D Depth,Hand-assembled 3D,3D compositions that look hand-assembled,Physical assembly
437,3D Depth,Tactile 3D surfaces,3D surfaces that invite touching,Tactile quality
438,3D Depth,Rough 3D edges,3D objects with rough unfinished edges,Hand-finished
439,3D Depth,Patina on 3D objects,3D objects with aged patina effects,Aging process
440,3D Depth,Hand-polished 3D,3D objects with uneven hand-polished shine,Manual polishing
441,Cursor,Custom hand-drawn cursor,Cursor styled as a hand-drawn arrow or pen,Drawing tool
442,Cursor,Pen nib cursor,Cursor styled as a fountain pen nib,Writing instrument
443,Cursor,Paintbrush cursor,Cursor styled as a paintbrush,Painting tool
444,Cursor,Pencil cursor,Cursor styled as a pencil tip,Drawing tool
445,Cursor,Hand pointer cursor,Cursor styled as a pointing hand,Gestural
446,Cursor,Stamp cursor,Cursor styled as a rubber stamp,Stamping tool
447,Cursor,Chalk cursor,Cursor styled as a piece of chalk,Chalk drawing
448,Cursor,Needle cursor,Cursor styled as a sewing needle,Needlework
449,Cursor,Carving tool cursor,Cursor styled as a carving tool,Sculpting
450,Cursor,Magnifying glass cursor,Cursor styled as a vintage magnifier,Examination
451,Cursor,Cursor trail drawing,Cursor leaves a drawn trail as it moves,Drawing gesture
452,Cursor,Cursor trail particles,Cursor leaves particle trail as it moves,Energy trail
453,Cursor,Cursor trail ink,Cursor leaves ink trail as it moves,Ink drawing
454,Cursor,Cursor trail watercolor,Cursor leaves watercolor trail,Paint trail
455,Cursor,Cursor interaction ripple,Cursor creates ripples on click,Water surface
456,Cursor,Magnetic cursor effect,Cursor magnetically attracted to elements,Physical force
457,Cursor,Cursor size change,Cursor changes size based on context,Adaptive tool
458,Cursor,Cursor color shift,Cursor changes color over different elements,Contextual response
459,Cursor,Cursor blend mode,Cursor blends with elements it hovers over,Optical mixing
460,Cursor,Custom hover cursor,Cursor changes to context-specific tool,Tool switching
461,Transition,Hand-drawn wipe transition,Page transitions with hand-drawn wipe effects,Manual wiping
462,Transition,Paper fold transition,Page transitions styled as paper folding,Origami
463,Transition,Page turn transition,Page transitions styled as book page turns,Book reading
464,Transition,Paint wipe transition,Transitions styled as paint being wiped,Painting
465,Transition,Ink wash transition,Transitions with ink wash spreading effects,Ink medium
466,Transition,Watercolor transition,Transitions with watercolor bleeding,Paint medium
467,Transition,Torn paper transition,Transitions with torn paper edge reveal,Physical tearing
468,Transition,Curtain reveal transition,Transitions styled as curtain being pulled,Theater
469,Transition,Slide transition,Transitions styled as slides being projected,Slide show
470,Transition,Film strip transition,Transitions styled as film strip advancement,Film projection
471,Transition,Flip book transition,Transitions with flip book page-turn feel,Flip book
472,Transition,Morphing transition,Organic shape morphing between pages,Living transition
473,Transition,Zoom through transition,Zooming through elements to next page,Spatial travel
474,Transition,Layer peel transition,Peeling back layers to reveal next page,Peeling
475,Transition,Stamp transition,Transition with rubber stamp impression,Stamping
476,Transition,Brush stroke transition,Transition with paint brush stroke reveal,Painting
477,Transition,Charcoal smudge transition,Transition with charcoal smudge effect,Drawing
478,Transition,Collage transition,Transition as collage elements rearranging,Physical assembly
479,Transition,Shadow transition,Transition through shadow movement,Shadow play
480,Transition,Light reveal transition,Transition as light gradually reveals page,Illumination
481,Empty State,Hand-drawn empty illustration,Empty state with hand-drawn illustration,Sketchy art
482,Empty State,Handwritten empty message,Empty state message in handwriting,Personal note
483,Empty State,Sketch placeholder,Empty state styled as a sketch placeholder,Design process
484,Empty State,Blueprint empty state,Empty state styled as a blueprint,Technical drawing
485,Empty State,Empty canvas feel,Empty state that feels like a blank canvas,Artist start
486,Empty State,Empty notebook page,Empty state styled as blank notebook page,Study aesthetic
487,Empty State,Empty photo frame,Empty state styled as empty picture frame,Waiting for memory
488,Empty State,Empty shelf display,Empty state styled as empty shelf,Waiting to be filled
489,Empty State,Empty garden,Empty state styled as empty garden plot,Growth potential
490,Empty State,Empty workshop,Empty state styled as empty workshop,Ready to create
491,Empty State,Hand-drawn arrow pointer,Empty state with hand-drawn arrow showing action,Guiding gesture
492,Empty State,Sketchy call-to-action,Empty state CTA with sketchy border,Hand-drawn
493,Empty State,Watercolor empty state,Empty state with watercolor wash background,Paint medium
494,Empty State,Charcoal empty state,Empty state with charcoal illustration,Drawing medium
495,Empty State,Ink empty state,Empty state with ink wash illustration,Ink medium
496,Empty State,Stamp empty state,Empty state with rubber stamp illustration,Stamping
497,Empty State,Clay empty state,Empty state with clay illustration style,Pottery
498,Empty State,Paper cut empty state,Empty state with paper cut illustration,Paper craft
499,Empty State,Embroidery empty state,Empty state with embroidered illustration,Needlework
500,Empty State,Woodcut empty state,Empty state with woodcut illustration,Relief printing
501,Error State,Hand-drawn error illustration,Error page with hand-drawn illustration,Sketchy art
502,Error State,Handwritten error message,Error message in handwriting style,Personal apology
503,Error State,Red pen correction,Error styled as red pen correction,Teacher feedback
504,Error State,Torn page error,Error page with torn paper aesthetic,Physical damage
505,Error State,Smudged ink error,Error with smudged ink effect,Mistake visual
506,Error State,Crumpled paper error,Error styled as crumpled paper,Frustration metaphor
507,Error State,Erased content error,Error showing erased content,Correction attempt
508,Error State,Stamp rejected error,Error styled as rejected rubber stamp,Official rejection
509,Error State,Spilled ink error,Error with spilled ink effect,Accident
510,Error State,Broken pencil error,Error with broken pencil illustration,Tool failure
511,Error State,Charcoal smudge error,Error with charcoal smudge,Drawing mistake
512,Error State,Watercolor bleed error,Error with watercolor bleeding out of bounds,Paint accident
513,Error State,Sketch crossed out,Error with hand-drawn cross-out,Manual rejection
514,Error State,Typewriter jam error,Error styled as typewriter paper jam,Mechanical failure
515,Error State,Paint spill error,Error with paint spill effect,Studio accident
516,Error State,Thread tangle error,Error with tangled thread illustration,Sewing problem
517,Error State,Clay crack error,Error with cracked clay illustration,Pottery flaw
518,Error State,Wood splinter error,Error with wood splinter illustration,Woodworking error
519,Error State,Metal rust error,Error with rust illustration,Aging problem
520,Error State,Faded photo error,Error with faded photograph effect,Time damage
521,Success State,Hand-drawn checkmark,Success with hand-drawn check mark,Manual approval
522,Success State,Stamp approved,Success styled as approved rubber stamp,Official approval
523,Success State,Handwritten success message,Success message in handwriting,Personal congratulations
524,Success State,Gold star success,Success with hand-drawn gold star,Teacher reward
525,Success State,Confetti burst,Success with hand-drawn confetti particles,Celebration
526,Success State,Watercolor bloom success,Success with watercolor bloom effect,Flower opening
527,Success State,Ink stamp success,Success with ink stamp impression,Marking completion
528,Success State,Ribbon badge success,Success with hand-drawn ribbon badge,Award
529,Success State,Seal of approval,Success with wax seal impression,Official seal
530,Success State,Hand-drawn celebration,Success with hand-drawn party elements,Manual celebration
531,Success State,Paint splash success,Success with paint splash effect,Creative burst
532,Success State,Charcoal highlight success,Success with charcoal circle highlight,Marking achievement
533,Success State,Embroidered success,Success with embroidered check mark,Needlework
534,Success State,Clay sculpture success,Success with clay sculpture forming,Sculpting complete
535,Success State,Wood carving success,Success with finished wood carving,Carving complete
536,Success State,Origami success,Success with completed origami shape,Folding complete
537,Success State,Weaving success,Success with completed weaving pattern,Textile complete
538,Success State,Pottery success,Success with finished pottery piece,Pottery complete
539,Success State,Sketch complete,Success with finished sketch illustration,Drawing complete
540,Success State,Painting complete,Success with finished painting,Art complete
541,Tooltip,Hand-drawn tooltip,Tooltip with hand-drawn border and arrow,Sketchy note
542,Tooltip,Handwritten tooltip text,Tooltip text in handwriting style,Personal note
543,Tooltip,Sticky note tooltip,Tooltip styled as a sticky note,Office supply
544,Tooltip,Speech bubble tooltip,Tooltip styled as hand-drawn speech bubble,Conversation
545,Tooltip,Label tag tooltip,Tooltip styled as a product tag with string,Product label
546,Tooltip,Stamp tooltip,Tooltip styled as a rubber stamp impression,Stamping
547,Tooltip,Chalk tooltip,Tooltip styled as chalk writing on dark background,Chalkboard
548,Tooltip,Torn paper tooltip,Tooltip with torn paper edges,Physical paper
549,Tooltip,Notebook annotation tooltip,Tooltip styled as notebook margin note,Study annotation
550,Tooltip,Red pen tooltip,Tooltip styled as red pen annotation,Teacher note
551,Tooltip,Highlighter tooltip,Tooltip styled as highlighter mark,Study tool
552,Tooltip,Pencil note tooltip,Tooltip styled as pencil annotation,Drawing note
553,Tooltip,Ink stamp tooltip,Tooltip styled as ink stamp,Official marking
554,Tooltip,Watercolor tooltip,Tooltip with watercolor background wash,Paint medium
555,Tooltip,Charcoal tooltip,Tooltip with charcoal texture background,Drawing medium
556,Tooltip,Sketch tooltip,Tooltip with sketchy border lines,Sketchy feel
557,Tooltip,Post-it tooltip,Tooltip styled as post-it note with slight curl,Adhesive note
558,Tooltip,Bookmark tooltip,Tooltip styled as a bookmark,Reading marker
559,Tooltip,Flag tooltip,Tooltip styled as a page flag,Page marker
560,Tooltip,Pin tooltip,Tooltip styled as a map pin,Location marker
561,Modal,Hand-drawn modal border,Modal with hand-drawn border outline,Sketchy container
562,Modal,Paper overlay modal,Modal styled as paper placed over content,Physical overlay
563,Modal,Tracing paper modal,Modal styled as tracing paper overlay,Technical drawing
564,Modal,Frosted glass modal,Modal with frosted glass effect,Physical glass
565,Modal,Parchment modal,Modal styled as parchment paper,Historical document
566,Modal,Canvas overlay modal,Modal styled as canvas overlay,Painter surface
567,Modal,Notebook page modal,Modal styled as notebook page,Study aesthetic
568,Modal,Cardboard modal,Modal styled as cardboard overlay,Packaging material
569,Modal,Acetate modal,Modal styled as acetate sheet overlay,Technical overlay
570,Modal,Vellum modal,Modal styled as vellum paper overlay,Fine paper
571,Modal,Hand-drawn close button,Modal close button hand-drawn,Sketchy control
572,Modal,Stamp modal header,Modal header styled as rubber stamp,Stamping
573,Modal,Watercolor modal background,Modal with watercolor wash background,Paint medium
574,Modal,Charcoal modal texture,Modal with charcoal texture,Drawing medium
575,Modal,Torn paper modal,Modal with torn paper edges,Physical paper
576,Modal,Stitched modal border,Modal with stitched border,Sewing craft
577,Modal,Wax seal modal close,Modal close button as wax seal,Traditional craft
578,Modal,Handwritten modal title,Modal title in handwriting style,Personal heading
579,Modal,Sketch modal animation,Modal appearing with sketch animation,Active drawing
580,Modal,Paint reveal modal,Modal revealed by paint brush strokes,Painting
581,Menu,Hand-drawn dropdown menu,Dropdown with hand-drawn border,Sketchy menu
582,Menu,Sketchy hamburger icon,Hamburger menu icon hand-drawn,Sketchy icon
583,Menu,Organic menu animation,Menu items flowing in organically,Natural movement
584,Menu,Handwritten menu items,Menu items in handwriting style,Personal menu
585,Menu,Stamp menu icons,Menu icons styled as rubber stamps,Stamping
586,Menu,Watercolor menu background,Menu with watercolor background,Paint medium
587,Menu,Charcoal menu texture,Menu with charcoal texture,Drawing medium
588,Menu,Torn paper menu,Menu with torn paper edges,Physical paper
589,Menu,Notebook menu,Menu styled as notebook page,Study aesthetic
590,Menu,Recipe card menu,Menu styled as recipe card,Culinary tradition
591,Menu,Chalkboard menu,Menu styled as chalkboard menu,Restaurant aesthetic
592,Menu,Hand-lettered menu,Menu with hand-lettered items,Calligraphy
593,Menu,Sketch menu animation,Menu appearing with sketch animation,Active drawing
594,Menu,Paint brush menu reveal,Menu revealed by paint strokes,Painting
595,Menu,Ink wash menu,Menu with ink wash background,Ink medium
596,Menu,Woodcut menu icons,Menu icons in woodcut style,Relief printing
597,Menu,Embroidered menu items,Menu items with embroidered appearance,Needlework
598,Menu,Clay menu items,Menu items styled as clay shapes,Pottery
599,Menu,Paper menu,Menu styled as paper document,Paper craft
600,Menu,Leather menu texture,Menu with leather grain texture,Luxury craft
601,Pagination,Hand-drawn page numbers,Pagination numbers hand-drawn,Sketchy numbers
602,Pagination,Sketchy page arrows,Pagination arrows hand-drawn,Sketchy navigation
603,Pagination,Stamp page numbers,Page numbers styled as rubber stamps,Stamping
604,Pagination,Handwritten pagination,Pagination in handwriting style,Personal numbering
605,Pagination,Book page pagination,Pagination styled as book page numbers,Book design
606,Pagination,Newspaper pagination,Pagination styled as newspaper page refs,Press design
607,Pagination,Chapter marker pagination,Pagination styled as chapter markers,Book chapters
608,Pagination,Bookmark pagination,Pagination styled as bookmarks,Reading markers
609,Pagination,Index card pagination,Pagination styled as index card numbers,Research tool
610,Pagination,Folio number style,Pagination in traditional folio style,Bookbinding
611,Pagination,Watercolor pagination,Pagination with watercolor number backgrounds,Paint medium
612,Pagination,Charcoal pagination,Pagination with charcoal number texture,Drawing medium
613,Pagination,Ink stamp pagination,Pagination with ink stamped numbers,Stamping
614,Pagination,Sketchy pagination dots,Pagination dots hand-drawn,Sketchy dots
615,Pagination,Torn paper pagination,Pagination on torn paper strips,Physical paper
616,Pagination,Woodcut pagination,Pagination in woodcut style,Relief printing
617,Pagination,Embroidered pagination,Pagination with embroidered numbers,Needlework
618,Pagination,Clay number pagination,Pagination numbers styled as clay,Pottery
619,Pagination,Metal type pagination,Pagination styled as metal type letters,Letterpress
620,Pagination,Hand-carved pagination,Pagination styled as carved wood numbers,Wood carving
621,Search,Hand-drawn search bar,Search input with hand-drawn border,Sketchy input
622,Search,Handwritten search placeholder,Search placeholder in handwriting,Personal query
623,Search,Sketchy search icon,Search icon hand-drawn,Sketchy icon
624,Search,Magnifying glass search,Search styled as vintage magnifying glass,Examination tool
625,Search,Stamp search button,Search button styled as rubber stamp,Stamping
626,Search,Watercolor search bar,Search bar with watercolor background,Paint medium
627,Search,Charcoal search texture,Search with charcoal texture,Drawing medium
628,Search,Notebook search,Search styled as notebook index lookup,Study tool
629,Search,Card catalog search,Search styled as library card catalog,Library system
630,Search,Index search,Search styled as book index lookup,Reference tool
631,Search,Hand-drawn search results,Search results with hand-drawn dividers,Sketchy results
632,Search,Stamp search results,Search results with stamp-style highlights,Stamping
633,Search,Highlighter search results,Search terms highlighted like marker,Study tool
634,Search,Red pen search results,Search corrections in red pen style,Teacher feedback
635,Search,Sketchy search animation,Search appearing with sketch animation,Active drawing
636,Search,Ink wash search,Search with ink wash background,Ink medium
637,Search,Torn paper search results,Search results on torn paper strips,Physical paper
638,Search,Woodcut search icon,Search icon in woodcut style,Relief printing
639,Search,Embroidered search,Search elements with embroidered appearance,Needlework
640,Search,Clay search button,Search button styled as clay shape,Pottery
641,Filter,Hand-drawn filter chips,Filter chips with hand-drawn borders,Sketchy filters
642,Filter,Sketchy filter toggle,Filter toggles hand-drawn,Sketchy controls
643,Filter,Stamp filter active,Active filter styled as rubber stamp,Stamping
644,Filter,Handwritten filter labels,Filter labels in handwriting,Personal labels
645,Filter,Tag filter style,Filters styled as hand-written tags,Labeling
646,Filter,Watercolor filter chips,Filter chips with watercolor fill,Paint medium
647,Filter,Charcoal filter texture,Filter elements with charcoal texture,Drawing medium
648,Filter,Torn paper filter,Filter elements on torn paper,Physical paper
649,Filter,Notebook filter,Filter styled as notebook annotations,Study tool
650,Filter,Stamp collection filter,Filters styled as stamp collection,Philately
651,Filter,Hand-drawn filter animation,Filter appearing with sketch animation,Active drawing
652,Filter,Ink wash filter,Filter with ink wash background,Ink medium
653,Filter,Woodcut filter icons,Filter icons in woodcut style,Relief printing
654,Filter,Embroidered filter,Filter elements with embroidered look,Needlework
655,Filter,Clay filter chips,Filter chips styled as clay shapes,Pottery
656,Filter,Metal tag filter,Filter tags styled as metal tags,Metalwork
657,Filter,Leather filter chips,Filter chips with leather texture,Luxury craft
658,Filter,Fabric filter chips,Filter chips with fabric texture,Textile craft
659,Filter,Wood filter chips,Filter chips with wood grain texture,Woodworking
660,Filter,Ceramic filter chips,Filter chips with ceramic appearance,Pottery
661,Tag,Hand-drawn tag,Tags with hand-drawn borders and text,Sketchy tag
662,Tag,Handwritten tag text,Tag text in handwriting style,Personal label
663,Tag,Product tag style,Tags styled as product hang tags,Product labeling
664,Tag,Luggage tag style,Tags styled as luggage tags,Travel aesthetic
665,Tag,Price tag style,Tags styled as vintage price tags,Retail aesthetic
666,Tag,Stamp tag,Tags styled as rubber stamp impressions,Stamping
667,Tag,Watercolor tag,Tags with watercolor fill,Paint medium
668,Tag,Charcoal tag,Tags with charcoal texture,Drawing medium
669,Tag,Torn paper tag,Tags with torn paper edges,Physical paper
670,Tag,Notebook tag,Tags styled as notebook labels,Study aesthetic
671,Tag,Ink stamp tag,Tags with ink stamp effect,Stamping
672,Tag,Woodcut tag,Tags in woodcut style,Relief printing
673,Tag,Embroidered tag,Tags with embroidered appearance,Needlework
674,Tag,Clay tag,Tags styled as clay shapes,Pottery
675,Tag,Metal tag,Tags styled as metal tags,Metalwork
676,Tag,Leather tag,Tags with leather texture,Luxury craft
677,Tag,Fabric tag,Tags with fabric texture,Textile craft
678,Tag,Wood tag,Tags with wood grain texture,Woodworking
679,Tag,Ceramic tag,Tags with ceramic appearance,Pottery
680,Tag,Wax seal tag,Tags styled as wax seals,Traditional craft
681,Badge,Hand-drawn badge,Badges with hand-drawn borders,Sketchy badge
682,Badge,Ribbon badge,Badges styled as ribbons,Award ribbon
683,Badge,Stamp badge,Badges styled as rubber stamps,Stamping
684,Badge,Handwritten badge,Badges with handwritten text,Personal badge
685,Badge,Wax seal badge,Badges styled as wax seals,Traditional craft
686,Badge,Watercolor badge,Badges with watercolor fill,Paint medium
687,Badge,Charcoal badge,Badges with charcoal texture,Drawing medium
688,Badge,Embroidered badge,Badges with embroidered appearance,Needlework
689,Badge,Metal badge,Badges styled as metal badges,Metalwork
690,Badge,Woodcut badge,Badges in woodcut style,Relief printing
691,Badge,Clay badge,Badges styled as clay shapes,Pottery
692,Badge,Fabric badge,Badges with fabric texture,Textile craft
693,Badge,Leather badge,Badges with leather texture,Luxury craft
694,Badge,Wood badge,Badges with wood grain,Woodworking
695,Badge,Ceramic badge,Badges with ceramic appearance,Pottery
696,Badge,Neon badge,Badges styled as neon signs,Sign making
697,Badge,Paint stroke badge,Badges with paint stroke fill,Painterly
698,Badge,Ink stamp badge,Badges with ink stamp effect,Stamping
699,Badge,Torn paper badge,Badges on torn paper,Physical paper
700,Badge,Sketchy badge animation,Badges appearing with sketch animation,Active drawing
701,Progress,Hand-drawn progress bar,Progress bar with hand-drawn fill,Sketchy progress
702,Progress,Paint fill progress,Progress shown as paint filling a shape,Paint filling
703,Progress,Ink spread progress,Progress shown as ink spreading,Ink medium
704,Progress,Watercolor progress,Progress shown as watercolor wash spreading,Paint medium
705,Progress,Charcoal fill progress,Progress shown as charcoal filling area,Drawing medium
706,Progress,Thread winding progress,Progress shown as thread winding,Spinning
707,Progress,Weaving progress,Progress shown as fabric being woven,Textile craft
708,Progress,Clay building progress,Progress shown as clay being built up,Pottery
709,Progress,Wood stacking progress,Progress shown as wood pieces stacking,Woodworking
710,Progress,Seed growing progress,Progress shown as plant growing,Natural growth
711,Progress,Hand-stitching progress,Progress shown as stitches being added,Sewing
712,Progress,Brick laying progress,Progress shown as bricks being laid,Masonry
713,Progress,Puzzle assembly progress,Progress shown as puzzle pieces fitting,Puzzle
714,Progress,Origami folding progress,Progress shown as paper being folded,Origami
715,Progress,Pottery wheel progress,Progress shown as clay forming on wheel,Pottery
716,Progress,Hand-carving progress,Progress shown as wood being carved,Wood carving
717,Progress,Metal forging progress,Progress shown as metal being shaped,Blacksmith
718,Progress,Glass blowing progress,Progress shown as glass being shaped,Glass craft
719,Progress,Book filling progress,Progress shown as book pages filling,Writing
720,Progress,Canvas painting progress,Progress shown as canvas being painted,Painting
721,Chart,Hand-drawn chart,Charts with hand-drawn lines and labels,Sketchy data
722,Chart,Sketchy bar chart,Bar chart with hand-drawn bars,Sketchy bars
723,Chart,Watercolor chart,Charts with watercolor fills,Paint medium
724,Chart,Ink chart,Charts drawn with ink lines,Ink medium
725,Chart,Charcoal chart,Charts drawn in charcoal,Drawing medium
726,Chart,Embroidered chart,Charts with embroidered appearance,Needlework
727,Chart,Woodcut chart,Charts in woodcut style,Relief printing
728,Chart,Clay chart,Charts styled as clay shapes,Pottery
729,Chart,Paper cut chart,Charts styled as paper cutouts,Paper craft
730,Chart,Hand-lettered chart labels,Chart labels in hand-lettered style,Calligraphy
731,Chart,Stamp chart elements,Chart elements styled as stamps,Stamping
732,Chart,Torn paper chart,Chart on torn paper background,Physical paper
733,Chart,Notebook chart,Chart styled as notebook sketch,Study aesthetic
734,Chart,Blueprint chart,Chart styled as blueprint drawing,Technical drawing
735,Chart,Chalkboard chart,Chart styled as chalkboard drawing,Chalkboard
736,Chart,Fabric chart,Chart with fabric texture fills,Textile craft
737,Chart,Leather chart,Chart with leather texture fills,Luxury craft
738,Chart,Wood chart,Chart with wood grain fills,Woodworking
739,Chart,Ceramic chart,Chart with ceramic appearance,Pottery
740,Chart,Paint stroke chart,Chart with paint stroke fills,Painterly
741,Table,Hand-drawn table borders,Table with hand-drawn grid lines,Sketchy table
742,Table,Sketchy table headers,Table headers with hand-drawn style,Sketchy headers
743,Table,Handwritten table data,Table data in handwriting style,Personal data
744,Table,Notebook table,Table styled as notebook grid,Study aesthetic
745,Table,Ledger table,Table styled as accounting ledger,Bookkeeping
746,Table,Stamp table highlights,Table highlights styled as stamps,Stamping
747,Table,Watercolor table rows,Table rows with watercolor alternating fills,Paint medium
748,Table,Charcoal table texture,Table with charcoal texture,Drawing medium
749,Table,Torn paper table,Table on torn paper background,Physical paper
750,Table,Ink table lines,Table with ink-drawn grid lines,Ink medium
751,Table,Woodcut table,Table in woodcut style,Relief printing
752,Table,Embroidered table,Table with embroidered appearance,Needlework
753,Table,Clay table cells,Table cells styled as clay shapes,Pottery
754,Table,Paper table,Table styled as paper document,Paper craft
755,Table,Leather table texture,Table with leather texture,Luxury craft
756,Table,Wood table texture,Table with wood grain texture,Woodworking
757,Table,Ceramic table,Table with ceramic appearance,Pottery
758,Table,Hand-drawn sort arrows,Table sort arrows hand-drawn,Sketchy arrows
759,Table,Stamp table pagination,Table pagination styled as stamps,Stamping
760,Table,Sketchy table animation,Table appearing with sketch animation,Active drawing
761,Avatar,Hand-drawn avatar,Avatar with hand-drawn border,Sketchy avatar
762,Avatar,Sketch portrait avatar,Avatar styled as sketch portrait,Portrait drawing
763,Avatar,Watercolor avatar,Avatar with watercolor frame,Paint medium
764,Avatar,Charcoal avatar,Avatar with charcoal portrait,Drawing medium
765,Avatar,Ink avatar,Avatar with ink portrait,Ink medium
766,Avatar,Woodcut avatar,Avatar in woodcut style,Relief printing
767,Avatar,Embroidered avatar,Avatar with embroidered frame,Needlework
768,Avatar,Clay avatar,Avatar styled as clay bust,Pottery
769,Avatar,Paper cut avatar,Avatar styled as paper cutout,Paper craft
770,Avatar,Stamp avatar,Avatar with rubber stamp frame,Stamping
771,Avatar,Polaroid avatar,Avatar styled as polaroid photo,Instant photography
772,Avatar,Torn photo avatar,Avatar with torn photo edges,Physical photo
773,Avatar,Chalk portrait avatar,Avatar styled as chalk portrait,Chalk drawing
774,Avatar,Pencil sketch avatar,Avatar styled as pencil sketch,Drawing tool
775,Avatar,Paint portrait avatar,Avatar styled as paint portrait,Painterly
776,Avatar,Neon avatar frame,Avatar with neon tube frame,Sign making
777,Avatar,Wood frame avatar,Avatar with carved wood frame,Wood carving
778,Avatar,Metal frame avatar,Avatar with metal frame,Metalwork
779,Avatar,Fabric frame avatar,Avatar with fabric frame,Textile craft
780,Avatar,Leather frame avatar,Avatar with leather frame,Luxury craft
781,Social,Hand-drawn share buttons,Share buttons hand-drawn,Sketchy buttons
782,Social,Sketchy social icons,Social media icons hand-drawn,Sketchy icons
783,Social,Stamp social icons,Social icons styled as stamps,Stamping
784,Social,Watercolor social buttons,Social buttons with watercolor fill,Paint medium
785,Social,Charcoal social icons,Social icons in charcoal,Drawing medium
786,Social,Ink social icons,Social icons in ink style,Ink medium
