ID,Category,Design Element,Description,Human Quality Signal
374,Icon,Stained glass icons,Icons with stained glass color and lead lines,Architectural craft
375,Icon,Leather tooled icons,Icons that look tooled into leather,Leather craft
376,Icon,Carved wood icons,Icons that appear carved from wood,Woodworking
377,Icon,Engraved metal icons,Icons that look engraved into metal plate,Metalworking
378,Icon,Charcoal icons,Icons drawn with charcoal texture and smudging,Drawing medium
379,Icon,Pastel icons,Icons drawn with soft pastel chalk texture,Art medium
380,Icon,Marker pen icons,Icons drawn with marker pen strokes and overlap,Writing tool
381,Animation,Organic easing curve,Animation using natural acceleration and deceleration curves,Physical motion
382,Animation,Breathing rhythm animation,Animation with natural breathing-like rhythm,Living presence
383,Animation,Hand-drawn frame animation,Animation with visible hand-drawn frame variation,Cel animation
384,Animation,Stop motion feel,Animation with slight frame-to-frame variation,Stop motion craft
385,Animation,Watercolor morph,Shapes that morph with watercolor bleeding effect,Paint behavior
386,Animation,Ink drop animation,Animation of ink drops spreading and merging,Ink physics
387,Animation,Paper fold animation,Animation of paper folding and unfolding,Origami craft
388,Animation,Thread pulling animation,Animation of thread being pulled through fabric,Textile craft
389,Animation,Pencil drawing animation,Animation of pencil drawing lines progressively,Drawing process
390,Animation,Paint drip animation,Animation of paint dripping and pooling,Paint physics
391,Animation,Smoke wisps animation,Animation of smoke rising in organic patterns,Atmospheric phenomenon
392,Animation,Fire flicker animation,Animation of fire flickering with natural variation,Fire behavior
393,Animation,Water ripple animation,Animation of water ripples spreading outward,Water physics
394,Animation,Leaf falling animation,Animation of leaves falling with natural tumbling,Natural phenomenon
395,Animation,Snow drift animation,Animation of snow drifting with wind patterns,Weather phenomenon
396,Animation,Dust particle animation,Animation of dust motes floating in light,Atmospheric detail
397,Animation,Candle flicker animation,Animation of candlelight flickering,Fire behavior
398,Animation,Clock mechanism animation,Animation of clock gears turning,Mechanical craft
399,Animation,Typewriter animation,Animation of typewriter keys striking paper,Writing tool
400,Animation,Page turn animation,Animation of a page being turned,Book interaction
401,Animation,Camera aperture animation,Animation of camera aperture opening and closing,Photography tool
402,Animation,Film reel animation,Animation of film reel spinning,Cinema craft
403,Animation,Record spin animation,Animation of vinyl record spinning,Music culture
404,Animation,Pottery wheel animation,Animation of clay being shaped on wheel,Pottery craft
405,Animation,Weaving animation,Animation of threads being woven,Textile craft
406,Animation,Forge animation,Animation of metal being forged in fire,Blacksmith craft
407,Animation,Glass blowing animation,Animation of glass being blown and shaped,Glass craft
408,Animation,Seed sprouting animation,Animation of seed germinating and growing,Biological process
409,Animation,Cloud formation animation,Animation of clouds forming and dissipating,Weather phenomenon
410,Animation,Tide animation,Animation of ocean tide rising and falling,Natural cycle
411,Animation,Star trail animation,Animation of star trails from long exposure,Astronomy
412,Animation,Aurora animation,Animation of aurora borealis light patterns,Natural phenomenon
413,Animation,Rain drop animation,Animation of rain drops hitting surface,Weather phenomenon
414,Animation,Sunbeam animation,Animation of sunbeams through atmosphere,Light behavior
415,Animation,Shadow lengthening animation,Animation of shadows lengthening with time passage,Time metaphor
416,Animation,Moon phase animation,Animation of moon phases cycling,Astronomical cycle
417,Animation,Seasonal color shift animation,Animation of colors shifting through seasons,Natural cycle
418,Animation,Heartbeat animation,Animation with natural heartbeat rhythm,Human biology
419,Animation,Pulse wave animation,Animation of pulse wave traveling through lines,Energy flow
420,Animation,Organic growth animation,Animation of elements growing like living organisms,Biological process
421,Cursor,Hand-drawn cursor,Custom cursor that looks hand-drawn,Sketch quality
422,Cursor,Paintbrush cursor,Cursor shaped like a paintbrush tip,Painting tool
423,Cursor,Pencil cursor,Cursor shaped like a pencil tip,Drawing tool
424,Cursor,Quill cursor,Cursor shaped like a feather quill,Writing tradition
425,Cursor,Needle cursor,Cursor shaped like a sewing needle,Textile craft
426,Cursor,Chisel cursor,Cursor shaped like a wood chisel,Woodworking tool
427,Cursor,Stamp cursor,Cursor shaped like a rubber stamp,Office tool
428,Cursor,Magnifying glass cursor,Cursor shaped like a magnifying glass,Investigation tool
429,Cursor,Compass cursor,Cursor shaped like a drawing compass,Drafting tool
430,Cursor,Calligraphy pen cursor,Cursor shaped like a calligraphy pen,Writing craft
431,Cursor,Paint roller cursor,Cursor shaped like a paint roller,Painting tool
432,Cursor,Spray can cursor,Cursor shaped like a spray paint can,Street art tool
433,Cursor,Scissors cursor,Cursor shaped like scissors,Cutting tool
434,Cursor,Tape measure cursor,Cursor shaped like a tape measure,Construction tool
435,Cursor,Level cursor,Cursor shaped like a spirit level,Building tool
436,Cursor,Hammer cursor,Cursor shaped like a hammer,Craft tool
437,Cursor,Screwdriver cursor,Cursor shaped like a screwdriver,Assembly tool
438,Cursor,Wrench cursor,Cursor shaped like a wrench,Mechanical tool
439,Cursor,Palette knife cursor,Cursor shaped like an artist's palette knife,Painting tool
440,Cursor,Trowel cursor,Cursor shaped like a masonry trowel,Building craft
441,Transition,Page turn transition,Page transition that mimics turning a physical page,Book interaction
442,Transition,Fade through white,Transition that fades through white like a camera flash,Photography
443,Transition,Ink bleed transition,Transition where content bleeds in like ink on paper,Print process
444,Transition,Paper tear transition,Transition that tears like paper to reveal next content,Physical tearing
445,Transition,Watercolor wash transition,Transition that washes over like watercolor spreading,Paint behavior
446,Transition,Slide projector transition,Transition like a slide projector changing slides,Vintage photography
447,Transition,Film strip transition,Transition like film frames advancing,Cinema craft
448,Transition,Flip book transition,Transition like flipping through a flip book,Animation craft
449,Transition,Shutter transition,Transition like a camera shutter opening and closing,Photography
450,Transition,Iris transition,Transition like a camera iris opening,Optical mechanism
451,Transition,Dissolve transition,Transition like one image dissolving into another,Darkroom technique
452,Transition,Wipe transition,Transition that wipes across like cleaning a surface,Physical action
453,Transition,Blinds transition,Transition like window blinds opening or closing,Architectural element
454,Transition,Curtain transition,Transition like theater curtains opening,Theater culture
455,Transition,Door opening transition,Transition like a door opening to reveal content,Architectural metaphor
456,Transition,Window reveal transition,Transition like looking through a window,Architectural metaphor
457,Transition,Mirror reflection transition,Transition like stepping through a mirror,Reflective surface
458,Transition,Lens focus transition,Transition like a camera lens coming into focus,Photography
459,Transition,Prism refraction transition,Transition like light through a prism,Optical phenomenon
460,Transition,Kaleidoscope transition,Transition like a kaleidoscope pattern shifting,Optical toy
461,Empty State,Hand-drawn illustration,Empty state with hand-drawn illustration,Sketch quality
462,Empty State,Inviting handwritten message,Empty state with handwritten invitation to add content,Personal touch
463,Empty State,Sketch placeholder,Empty state that looks like a sketch waiting to be filled,Draft quality
464,Empty State,Blank canvas metaphor,Empty state designed like a blank canvas,Art metaphor
465,Empty State,Empty notebook page,Empty state styled like a blank notebook page,Journal metaphor
466,Empty State,Unwritten letter,Empty state designed like an unwritten letter,Correspondence metaphor
467,Empty State,Empty picture frame,Empty state with an empty picture frame,Photography metaphor
468,Empty State,Blank postcard,Empty state styled like a blank postcard,Mail metaphor
469,Empty State,Empty bookshelf,Empty state with an empty bookshelf,Library metaphor
470,Empty State,Unplanted garden,Empty state designed like an unplanted garden,Growth metaphor
471,Empty State,Blank recipe card,Empty state styled like a blank recipe card,Cooking metaphor
472,Empty State,Empty easel,Empty state with an empty artist's easel,Art studio metaphor
473,Empty State,Blank sheet music,Empty state styled like blank sheet music,Music metaphor
474,Empty State,Empty workshop bench,Empty state designed like an empty workbench,Craft metaphor
475,Empty State,Unwritten chalkboard,Empty state styled like a clean chalkboard,Classroom metaphor
476,Empty State,Empty gallery wall,Empty state with empty gallery wall frames,Art gallery metaphor
477,Empty State,Blank map,Empty state styled like a blank map waiting to be filled,Exploration metaphor
478,Empty State,Empty seed packet,Empty state designed like an empty seed packet,Growth metaphor
479,Empty State,Unstrung instrument,Empty state styled like an unstrung instrument,Music metaphor
480,Empty State,Blank blueprint,Empty state designed like a blank blueprint,Engineering metaphor
481,Error State,Hand-drawn error illustration,Error state with hand-drawn illustration of the problem,Sketch quality
482,Error State,Friendly handwritten error message,Error message written in a friendly handwritten style,Personal communication
483,Error State,Red pen correction,Error state styled like a teacher's red pen correction,Educational metaphor
484,Error State,Crossed-out text,Error shown as text crossed out with hand-drawn X,Manual correction
485,Error State,Stamp rejection,Error shown as a stamped REJECTED mark,Official document
486,Error State,Torn page error,Error state designed like a torn page from a notebook,Physical destruction
487,Error State,Spilled ink error,Error shown as spilled ink obscuring content,Accident metaphor
488,Error State,Wrong turn sign,Error state designed like a wrong turn road sign,Navigation metaphor
489,Error State,Dead end sign,Error shown as a dead end street sign,Navigation metaphor
490,Error State,Mismatched puzzle piece,Error shown as a puzzle piece that doesn't fit,Problem-solving metaphor
491,Error State,Broken thread,Error shown as a broken thread in weaving,Textile metaphor
492,Error State,Misspelled word,Error shown as a misspelled word with correction,Writing metaphor
493,Error State,Smudged text,Error shown as smudged text that can't be read,Physical damage
494,Error State,Wrong page,Error state designed like being on the wrong page of a book,Navigation metaphor
495,Error State,Empty mailbox,Error shown as an empty mailbox,Communication metaphor
496,Error State,Disconnected wire,Error shown as a disconnected electrical wire,Connection metaphor
497,Error State,Missing puzzle piece,Error shown as a puzzle with a missing piece,Completeness metaphor
498,Error State,Wrong key,Error shown as a key that doesn't fit a lock,Access metaphor
499,Error State,Faded photograph,Error shown as a faded or damaged photograph,Memory metaphor
500,Error State,Unreadable handwriting,Error shown as illegible handwriting,Communication metaphor
501,Success State,Hand-drawn celebration,Success state with hand-drawn celebration illustration,Sketch quality
502,Success State,Stamp of approval,Success shown as a stamped APPROVED mark,Official approval
503,Success State,Gold star reward,Success shown as a hand-drawn gold star,Educational reward
504,Success State,Checkmark with flourish,Success checkmark drawn with a decorative flourish,Personal touch
505,Success State,Confetti burst,Success with hand-drawn confetti burst,Celebration
506,Success State,Seal of completion,Success shown as a wax seal of completion,Official document
507,Success State,Ribbon award,Success shown as a prize ribbon,Achievement award
508,Success State,Stamped passport,Success shown as a passport stamp,Travel achievement
509,Success State,Graduation cap,Success shown as a graduation cap,Educational achievement
510,Success State,Trophy illustration,Success shown as a hand-drawn trophy,Achievement symbol
511,Success State,Bloom animation,Success shown as a flower blooming,Growth metaphor
512,Success State,Sunrise reveal,Success shown as a sunrise,Natural celebration
513,Success State,Firework burst,Success shown as hand-drawn fireworks,Celebration
514,Success State,High five gesture,Success shown as a high five illustration,Human connection
515,Success State,Thumbs up sketch,Success shown as a hand-drawn thumbs up,Personal approval
516,Success State,Heart illustration,Success shown as a hand-drawn heart,Emotional warmth
517,Success State,Star constellation,Success shown as stars forming a constellation,Achievement mapping
518,Success State,Completed puzzle,Success shown as a completed puzzle,Problem solved
519,Success State,Filled cup,Success shown as a cup being filled to the top,Completion metaphor
520,Success State,Planted tree,Success shown as a planted tree growing,Growth achievement
521,Tooltip,Handwritten tooltip,Tooltip with handwritten-style text,Personal note
522,Tooltip,Speech bubble tooltip,Tooltip designed like a hand-drawn speech bubble,Conversation
523,Tooltip,Sticky note tooltip,Tooltip styled like a sticky note,Office material
524,Tooltip,Margin annotation tooltip,Tooltip designed like a margin annotation,Study note
525,Tooltip,Whisper tooltip,Tooltip that appears like a whispered secret,Intimate communication
526,Tooltip,Post-it reminder tooltip,Tooltip styled like a post-it reminder,Personal reminder
527,Tooltip,Chalk note tooltip,Tooltip designed like a chalk note on a board,Classroom communication
528,Tooltip,Label tag tooltip,Tooltip styled like a physical label tag,Identification
529,Tooltip,Bookmark tooltip,Tooltip designed like a bookmark with text,Reading aid
530,Tooltip,Envelope tooltip,Tooltip styled like a small envelope,Message metaphor
531,Tooltip,Message in a bottle,Tooltip designed like a rolled message,Communication metaphor
532,Tooltip,Telegram tooltip,Tooltip styled like a vintage telegram,Historical communication
533,Tooltip,Pigeon message tooltip,Tooltip designed like a message tied to a pigeon,Historical communication
534,Tooltip,Smoke signal tooltip,Tooltip styled like a smoke signal,Primitive communication
535,Tooltip,Carrier pigeon tooltip,Tooltip designed like a pigeon with message,Historical communication
536,Tooltip,Whisper gallery tooltip,Tooltip that appears like a whisper in a gallery,Acoustic metaphor
537,Tooltip,Note passed in class,Tooltip styled like a folded note passed in class,School culture
538,Tooltip,Diary entry tooltip,Tooltip designed like a diary entry,Personal reflection
539,Tooltip,Postcard tooltip,Tooltip styled like a miniature postcard,Mail culture
540,Tooltip,Letter tooltip,Tooltip designed like a small letter,Correspondence
541,Modal,Hand-drawn modal border,Modal with irregular hand-drawn border,Sketch quality
542,Modal,Paper overlay modal,Modal that looks like a sheet of paper placed on top,Physical layering
543,Modal,Card overlay modal,Modal styled like a card placed over content,Physical card
544,Modal,Envelope modal,Modal designed like an opened envelope,Mail metaphor
545,Modal,Book page modal,Modal styled like a book page,Reading metaphor
546,Modal,Clipboard modal,Modal designed like a clipboard,Field work metaphor
547,Modal,Photo modal,Modal styled like a photograph being held up,Photography metaphor
548,Modal,Notebook modal,Modal designed like an open notebook,Journal metaphor
549,Modal,Letter modal,Modal styled like an opened letter,Correspondence
550,Modal,Document modal,Modal designed like a physical document,Office metaphor
551,Modal,Blueprint modal,Modal styled like a blueprint,Engineering metaphor
552,Modal,Map modal,Modal designed like a folded map,Navigation metaphor
553,Modal,Recipe modal,Modal styled like a recipe card,Cooking metaphor
554,Modal,Ticket modal,Modal designed like a ticket,Event metaphor
555,Modal,Certificate modal,Modal styled like a certificate,Achievement metaphor
556,Modal,Invitation modal,Modal designed like a formal invitation,Event culture
557,Modal,Menu modal,Modal styled like a restaurant menu,Food culture
558,Modal,Passport modal,Modal designed like a passport page,Travel metaphor
559,Modal,Label modal,Modal styled like a product label,Identification
560,Modal,Tag modal,Modal designed like a physical tag,Identification
561,Menu,Hand-drawn menu list,Menu items with hand-drawn separators and bullets,Sketch quality
562,Menu,Recipe index menu,Menu styled like a recipe index,Cooking culture
563,Menu,Table of contents menu,Menu designed like a book's table of contents,Literary tradition
564,Menu,Card catalog menu,Menu styled like a library card catalog,Information organization
565,Menu,Spice rack menu,Menu designed like a spice rack organization,Kitchen culture
566,Menu,Tool drawer menu,Menu styled like organized tool drawers,Workshop culture
567,Menu,Paint swatch menu,Menu designed like paint color swatches,Design culture
568,Menu,Fabric sample menu,Menu styled like fabric sample book,Textile culture
569,Menu,Book spine menu,Menu designed like book spines on a shelf,Library culture
570,Menu,Record collection menu,Menu styled like vinyl record collection,Music culture
571,Menu,Stamp collection menu,Menu designed like a stamp album,Collecting culture
572,Menu,Herbarium menu,Menu styled like a herbarium collection,Botanical culture
573,Menu,Specimen drawer menu,Menu designed like museum specimen drawers,Natural history
574,Menu,Apothecary cabinet menu,Menu styled like an apothecary's cabinet,Medical heritage
575,Menu,Type specimen menu,Menu designed like a type specimen sheet,Typography culture
576,Menu,Color wheel menu,Menu styled like a color wheel,Design tool
577,Menu,Pantone swatch menu,Menu designed like Pantone color swatches,Design industry
578,Menu,Thread spool menu,Menu styled like thread spools on a rack,Sewing culture
579,Menu,Tea tin menu,Menu designed like tea tin labels,Tea culture
580,Menu,Wine label menu,Menu styled like wine bottle labels,Wine culture
581,Pagination,Page number stamps,Pagination shown as stamped page numbers,Manual stamping
582,Pagination,Book page edges,Pagination designed like book page edges,Book craft
583,Pagination,Film strip pagination,Pagination styled like film strip frames,Cinema craft
584,Pagination,Calendar pagination,Pagination designed like calendar pages,Time keeping
585,Pagination,Flip book pagination,Pagination styled like flip book pages,Animation craft
586,Pagination,Index card pagination,Pagination designed like index card tabs,Organization
587,Pagination,Bookmark pagination,Pagination styled like bookmarks,Reading culture
588,Pagination,Chapter marker pagination,Pagination designed like chapter markers,Book structure
589,Pagination,Newspaper page pagination,Pagination styled like newspaper page numbers,Journalism
590,Pagination,Magazine page pagination,Pagination designed like magazine page numbers,Editorial design
591,Pagination,Scroll pagination,Pagination styled like a scroll being unrolled,Ancient document
592,Pagination,Deck of cards pagination,Pagination designed like a deck of cards,Game culture
593,Pagination,Train ticket pagination,Pagination styled like train ticket numbers,Travel culture
594,Pagination,Board game space pagination,Pagination designed like board game spaces,Game culture
595,Pagination,Stepping stone pagination,Pagination styled like stepping stones across water,Natural metaphor
596,Pagination,Breadcrumb trail pagination,Pagination designed like a trail of breadcrumbs,Navigation metaphor
597,Pagination,Compass point pagination,Pagination styled like compass directions,Navigation
598,Pagination,Milestone pagination,Pagination designed like road milestones,Travel metaphor
599,Pagination,Ladder rung pagination,Pagination styled like ladder rungs,Climbing metaphor
600,Pagination,Stair step pagination,Pagination designed like stair steps,Architectural metaphor
601,Search,Hand-drawn search icon,Search icon that looks hand-drawn,Sketch quality
602,Search,Magnifying glass search,Search designed like a physical magnifying glass,Investigation tool
603,Search,Library catalog search,Search styled like a library card catalog search,Information retrieval
604,Search,Index search,Search designed like a book index,Reference tool
605,Search,Card file search,Search styled like a card file system,Organization tool
606,Search,Dictionary search,Search designed like a dictionary lookup,Reference culture
607,Search,Encyclopedia search,Search styled like an encyclopedia index,Knowledge retrieval
608,Search,Archive search,Search designed like an archive finding aid,Historical research
609,Search,Map search,Search styled like finding a location on a map,Navigation
610,Search,Telescope search,Search designed like looking through a telescope,Exploration
611,Search,Microscope search,Search styled like examining under a microscope,Scientific investigation
612,Search,Metal detector search,Search designed like a metal detector sweep,Discovery tool
613,Search,Panning for gold search,Search styled like panning for gold,Discovery process
614,Search,Fishing net search,Search designed like casting a fishing net,Harvesting metaphor
615,Search,Sieve search,Search styled like sifting through a sieve,Sorting process
616,Search,Compass search,Search designed like using a compass,Navigation tool
617,Search,Flashlight search,Search styled like searching with a flashlight,Exploration
618,Search,Keyhole search,Search designed like looking through a keyhole,Discovery
619,Search,Peephole search,Search styled like looking through a peephole,Observation
620,Search,Periscope search,Search designed like using a periscope,Naval exploration
621,Filter,Toggle switch filter,Filter designed like physical toggle switches,Electrical control
622,Filter,Slider knob filter,Filter styled like physical slider knobs,Audio equipment
623,Filter,Dial filter,Filter designed like rotary dials,Machine control
624,Filter,Checkbox filter,Filter styled like physical checkboxes,Form design
625,Filter,Tag filter,Filter designed like physical tags,Organization
626,Filter,Color swatch filter,Filter styled like color swatches,Design tool
627,Filter,Fabric swatch filter,Filter designed like fabric samples,Textile culture
628,Filter,Spice jar filter,Filter styled like spice jar labels,Kitchen organization
629,Filter,Paint chip filter,Filter designed like paint store chips,Design culture
630,Filter,Thread spool filter,Filter styled like thread spools,Sewing culture
631,Filter,Button collection filter,Filter designed like a button collection,Sewing culture
632,Filter,Stamp filter,Filter styled like postage stamps,Mail culture
633,Filter,Coin filter,Filter designed like coin sorting,Numismatic culture
634,Filter,Shell collection filter,Filter styled like a shell collection,Beach culture
635,Filter,Stone collection filter,Filter designed like a stone collection,Geology culture
636,Filter,Leaf collection filter,Filter styled like pressed leaves,Botanical culture
637,Filter,Feather collection filter,Filter designed like a feather collection,Natural history
638,Filter,Seed packet filter,Filter styled like seed packets,Gardening culture
639,Filter,Tea bag filter,Filter designed like tea bag tags,Tea culture
640,Filter,Wine cork filter,Filter styled like wine cork collection,Wine culture
641,Tag,Hand-drawn tag,Tag with hand-drawn border and text,Sketch quality
642,Tag,Label maker tag,Tag styled like embossed label maker text,Vintage office
643,Tag,Price tag,Tag designed like a physical price tag,Retail culture
644,Tag,Luggage tag,Tag styled like a luggage tag,Travel culture
645,Tag,Name tag,Tag designed like a conference name tag,Event culture
646,Tag,Plant label tag,Tag styled like a garden plant label,Gardening culture
647,Tag,File folder tag,Tag designed like a file folder tab,Office organization
648,Tag,Bookmark tag,Tag styled like a bookmark,Reading culture
649,Tag,Shipping label tag,Tag designed like a shipping label,Logistics culture
650,Tag,Apothecary label tag,Tag styled like an apothecary jar label,Medical heritage
651,Tag,Specimen label tag,Tag designed like a museum specimen label,Natural history
652,Tag,Archive tag,Tag styled like an archive label,Documentation culture
653,Tag,Library spine tag,Tag designed like a library book spine label,Library culture
654,Tag,Wine label tag,Tag styled like a wine bottle label,Wine culture
655,Tag,Jam jar tag,Tag designed like a homemade jam jar label,Preserving culture
656,Tag,Honey jar tag,Tag styled like a honey jar label,Beekeeping culture
657,Tag,Soap label tag,Tag designed like artisan soap label,Craft culture
658,Tag,Candle label tag,Tag styled like a candle label,Artisan culture
659,Tag,Bread tag,Tag designed like a bakery bread tag,Food culture
660,Tag,Cheese label tag,Tag styled like a cheese label,Dairy culture
661,Badge,Hand-drawn badge,Badge with hand-drawn border and design,Sketch quality
662,Badge,Merit badge,Badge styled like a scout merit badge,Achievement culture
663,Badge,Police badge,Badge designed like a police badge,Authority symbol
664,Badge,Enamel pin badge,Badge styled like an enamel lapel pin,Accessory culture
665,Badge,Button badge,Badge designed like a pin-back button,Activism culture
666,Badge,Seal badge,Badge styled like an official seal,Authority symbol
667,Badge,Ribbon badge,Badge designed like a prize ribbon,Achievement symbol
668,Badge,Shield badge,Badge styled like a heraldic shield,Heritage symbol
669,Badge,Crest badge,Badge designed like a family crest,Heritage culture
670,Badge,Military patch badge,Badge styled like a military patch,Military culture
671,Badge,Space mission patch,Badge designed like a NASA mission patch,Space culture
672,Badge,Fire department badge,Badge styled like a fire department emblem,Service culture
673,Badge,Club badge,Badge designed like a club membership badge,Community culture
674,Badge,Union badge,Badge styled like a trade union badge,Labor culture
675,Badge,Guild badge,Badge designed like a medieval guild badge,Craft heritage
676,Badge,Explorer badge,Badge styled like an explorer's badge,Adventure culture
677,Badge,Ranger badge,Badge designed like a park ranger badge,Nature conservation
678,Badge,Volunteer badge,Badge styled like a volunteer badge,Community service
679,Badge,Certification badge,Badge designed like a professional certification,Professional achievement
680,Badge,Milestone badge,Badge styled like a milestone marker,Achievement tracking
681,Progress,Hand-drawn progress bar,Progress bar with hand-drawn fill,Sketch quality
682,Progress,Thermometer progress,Progress styled like a thermometer filling,Measurement tool
683,Progress,Battery progress,Progress designed like a battery charging,Energy metaphor
684,Progress,Cup filling progress,Progress styled like a cup being filled,Completion metaphor
685,Progress,Plant growth progress,Progress designed like a plant growing,Growth metaphor
686,Progress,Sun arc progress,Progress styled like sun moving across sky,Time metaphor
687,Progress,Moon phase progress,Progress designed like moon phases cycling,Astronomical metaphor
688,Progress,Hourglass progress,Progress styled like sand in an hourglass,Time keeping
689,Progress,Candle burn progress,Progress designed like a candle burning down,Time metaphor
690,Progress,Thread spool progress,Progress styled like thread being wound,Sewing metaphor
691,Progress,Paint fill progress,Progress designed like paint filling a container,Paint metaphor
692,Progress,Ink well progress,Progress styled like ink being used,Writing metaphor
693,Progress,Book page progress,Progress designed like pages being turned,Reading metaphor
694,Progress,Mountain climb progress,Progress styled like climbing a mountain,Achievement metaphor
695,Progress,Road trip progress,Progress designed like a car on a road map,Travel metaphor
696,Progress,Recipe step progress,Progress styled like recipe steps being completed,Cooking metaphor
697,Progress,Building construction progress,Progress designed like a building going up,Construction metaphor
698,Progress,Puzzle completion progress,Progress styled like a puzzle being assembled,Problem-solving metaphor
699,Progress,Garden planting progress,Progress designed like a garden being planted,Growth metaphor
700,Progress,Weaving progress,Progress styled like fabric being woven,Textile metaphor
701,Chart,Hand-drawn bar chart,Bar chart with hand-drawn bars,Sketch quality
702,Chart,Sketch line chart,Line chart with hand-drawn lines,Drawing quality
703,Chart,Watercolor pie chart,Pie chart with watercolor fill,Paint medium
704,Chart,Ink wash chart,Chart with ink wash shading,Traditional technique
705,Chart,Chalkboard chart,Chart drawn on chalkboard background,Classroom culture
706,Chart,Blueprint chart,Chart styled like a blueprint,Engineering culture
707,Chart,Graph paper chart,Chart on graph paper background,Technical drawing
708,Chart,Newspaper chart,Chart styled like a newspaper graphic,Journalism
709,Chart,Infographic chart,Chart designed like a vintage infographic,Information design
710,Chart,Field notebook chart,Chart styled like a field researcher's notebook,Scientific observation
711,Chart,Weather map chart,Chart designed like a weather map,Meteorology
712,Chart,Nautical chart,Chart styled like a nautical chart,Navigation
713,Chart,Astronomical chart,Chart designed like a star chart,Astronomy
714,Chart,Anatomical chart,Chart styled like an anatomical drawing,Medical culture
715,Chart,Botanical chart,Chart designed like a botanical illustration,Botanical culture
716,Chart,Geological chart,Chart styled like a geological survey,Geology
717,Chart,Architectural chart,Chart designed like an architectural drawing,Architecture
718,Chart,Engineering chart,Chart styled like an engineering diagram,Engineering
719,Chart,Artisan chart,Chart designed like an artisan's measurement record,Craft culture
720,Chart,Recipe chart,Chart styled like a recipe measurement guide,Cooking culture
721,Table,Hand-drawn table grid,Table with hand-drawn grid lines,Sketch quality
722,Table,Ledger table,Table styled like a paper ledger,Accounting culture
723,Table,Spreadsheet table,Table designed like a printed spreadsheet,Office culture
724,Table,Inventory table,Table styled like an inventory list,Stock management
725,Table,Schedule table,Table designed like a printed schedule,Time management
726,Table,Timetable table,Table styled like a train timetable,Transport culture
727,Table,Menu table,Table designed like a restaurant menu,Food culture
728,Table,Pricelist table,Table styled like a price list,Retail culture
729,Table,Catalog table,Table designed like a product catalog,Commerce
730,Table,Directory table,Table styled like a directory listing,Organization
731,Table,Register table,Table designed like a register entry,Record keeping
732,Table,Logbook table,Table styled like a logbook entry,Documentation
733,Table,Manifest table,Table designed like a shipping manifest,Logistics
734,Table,Roster table,Table styled like a team roster,Organization
735,Table,Index table,Table designed like a book index,Reference
736,Table,Glossary table,Table styled like a glossary,Reference
737,Table,Recipe table,Table designed like a recipe ingredient list,Cooking culture
738,Table,Prescription table,Table styled like a prescription list,Medical culture
739,Table,Blueprint table,Table designed like a blueprint schedule,Engineering
740,Table,Exhibit table,Table styled like a museum exhibit label,Cultural institution
741,Avatar,Hand-drawn avatar,Avatar with hand-drawn portrait,Sketch quality
742,Avatar,Sketch portrait avatar,Avatar styled like a pencil sketch,Drawing culture
743,Avatar,Watercolor portrait avatar,Avatar designed like a watercolor portrait,Paint culture
744,Avatar,Pixel art avatar,Avatar styled like pixel art,Digital craft
745,Avatar,Stamp portrait avatar,Avatar designed like a rubber stamp portrait,Stamp culture
746,Avatar,Silhouette avatar,Avatar styled like a paper silhouette portrait,Portrait tradition
747,Avatar,Emoji-style avatar,Avatar designed like a hand-drawn emoji,Expression culture
748,Avatar,Caricature avatar,Avatar styled like a caricature drawing,Humor culture
749,Avatar,Passport photo avatar,Avatar designed like a passport photo,Identity culture
750,Avatar,Yearbook photo avatar,Avatar styled like a yearbook photo,School culture
751,Avatar,Trading card avatar,Avatar designed like a trading card,Collecting culture
752,Avatar,Playing card avatar,Avatar styled like a playing card face,Game culture
753,Avatar,Coin portrait avatar,Avatar designed like a coin portrait,Minting culture
754,Avatar,Medal portrait avatar,Avatar styled like a medal portrait,Honor culture
755,Avatar,Stamp portrait avatar,Avatar designed like a postage stamp portrait,Mail culture
756,Avatar,Badge portrait avatar,Avatar styled like a badge portrait,Identity culture
757,Avatar,Woodcut portrait avatar,Avatar designed like a woodcut portrait,Print culture
758,Avatar,Mosaic portrait avatar,Avatar styled like a mosaic portrait,Ancient craft
759,Avatar,Stained glass portrait avatar,Avatar designed like stained glass portrait,Architectural craft
760,Avatar,Embroidered portrait avatar,Avatar styled like an embroidered portrait,Textile craft
761,Social,Hand-drawn share button,Share button with hand-drawn icon,Sketch quality
762,Social,Stamp-style like button,Like button designed like a rubber stamp,Stamp culture
763,Social,Heart stamp social, Social interaction shown as a heart stamp,Affection culture
764,Social,Comment speech bubble,Social comment styled like a speech bubble,Conversation
765,Social,Letter social interaction,Social interaction designed like letter exchange,Correspondence
766,Social,Postcard social,Social sharing styled like postcard exchange,Mail culture
767,Social,Guestbook social,Social interaction designed like a guestbook,Visitor culture
768,Social,Message board social,Social styled like a physical message board,Community board
769,Social,Bulletin board social,Social designed like a bulletin board,Community culture
770,Social,Town square social,Social styled like a town square gathering,Community metaphor
771,Social,Coffee shop social,Social designed like a coffee shop conversation,Social culture
772,Social,Book club social,Social styled like a book club discussion,Reading culture
773,Social,Salon social,Social designed like a literary salon,Intellectual culture
774,Social,Marketplace social,Social styled like a marketplace interaction,Commerce culture
775,Social,Pub social,Social designed like a pub conversation,Public house culture
776,Social,Garden social,Social styled like a community garden,Shared space
