ID,Font Name,Google Fonts URL,Classification,Use Case,Mood/Personality,Why AI Avoids It,When To Use,Pairing Suggestion
181,Shadows Into Light,https://fonts.google.com/specimen/Shadows+Into+Light,Handwriting,Pencil handwriting body,Pencil handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
182,Indie Flower,https://fonts.google.com/specimen/Indie+Flower,Handwriting,Casual handwriting body,Casual handwriting charm,Handwriting fonts rarely AI default,Personal sites,Open Sans
183,Architects Daughter,https://fonts.google.com/specimen/Architects+Daughter,Handwriting,Architectural handwriting,Architectural handwriting character,Themed handwriting limits AI use,Architecture sites,Open Sans
184,Coming Soon,https://fonts.google.com/specimen/Coming+Soon,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
185,Reenie Beanie,https://fonts.google.com/specimen/Reenie+Beanie,Handwriting,Bold handwriting headers,Bold handwriting character,Handwriting fonts rarely AI default,Casual sites,Open Sans
186,Kalam,https://fonts.google.com/specimen/Kalam,Handwriting,Indian handwriting body,Indian handwriting character,Cultural origin limits AI use,Indian personal sites,Open Sans
187,Gloria Hallelujah,https://fonts.google.com/specimen/Gloria+Hallelujah,Handwriting,Marker handwriting body,Marker handwriting energy,Handwriting fonts rarely AI default,Personal sites,Open Sans
188,Permanent Marker,https://fonts.google.com/specimen/Permanent+Marker,Handwriting,Marker display headers,Marker display energy,Handwriting fonts rarely AI default,Street art sites,Open Sans
189,Satisfy,https://fonts.google.com/specimen/Satisfy,Script,Flowing script body,Flowing script warmth,Script fonts rarely AI default,Personal sites,Open Sans
190,Allura,https://fonts.google.com/specimen/Allura,Script,Elegant script headers,Elegant script sophistication,Script fonts rarely AI default,Luxury sites,Open Sans
191,Parisienne,https://fonts.google.com/specimen/Parisienne,Script,French script headers,French script elegance,Cultural specificity limits AI use,French sites,Open Sans
192,Mr Dafoe,https://fonts.google.com/specimen/Mr+Dafoe,Script,Brush script headers,Brush script energy,Script fonts rarely AI default,Creative sites,Open Sans
193,Grand Hotel,https://fonts.google.com/specimen/Grand+Hotel,Script,Hotel script headers,Hotel script elegance,Script fonts rarely AI default,Hospitality sites,Open Sans
194,Kristi,https://fonts.google.com/specimen/Kristi,Script,Signature script headers,Signature script character,Script fonts rarely AI default,Personal sites,Open Sans
195,Leckerli One,https://fonts.google.com/specimen/Leckerli+One,Handwriting,Playful handwriting body,Playful handwriting charm,Handwriting fonts rarely AI default,Food sites,Open Sans
196,Handlee,https://fonts.google.com/specimen/Handlee,Handwriting,Child-like handwriting,Child-like handwriting warmth,Handwriting fonts rarely AI default,Education sites,Open Sans
197,Just Another Hand,https://fonts.google.com/specimen/Just+Another+Hand,Handwriting,Casual handwriting body,Casual handwriting character,Handwriting fonts rarely AI default,Personal sites,Open Sans
198,Nothing You Could Do,https://fonts.google.com/specimen/Nothing+You+Could+Do,Handwriting,Messy handwriting body,Messy handwriting character,Handwriting fonts rarely AI default,Casual sites,Open Sans
199,Waiting for the Sunrise,https://fonts.google.com/specimen/Waiting+for+the+Sunrise,Handwriting,Poetic handwriting body,Poetic handwriting warmth,Handwriting fonts rarely AI default,Poetry sites,Open Sans
200,Yesteryear,https://fonts.google.com/specimen/Yesteryear,Script,Vintage script headers,Vintage script nostalgia,Script fonts rarely AI default,Vintage sites,Open Sans
201,Alegreya SC,https://fonts.google.com/specimen/Alegreya+SC,Serif,Small caps editorial headers,Small caps elegance,Small caps style not AI default,Editorial sites,Alegreya Sans
202,Aladin,https://fonts.google.com/specimen/Aladin,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
203,Alata,https://fonts.google.com/specimen/Alata,Sans Serif,Rounded sans body,Rounded sans friendliness,Rounded style not AI default,Wellness sites,Merriweather
204,Albert Sans,https://fonts.google.com/specimen/Albert+Sans,Sans Serif,Modern geometric body,Geometric sans clarity,Newer font not widely known,Modern brands,DM Serif Text
205,Aldrich,https://fonts.google.com/specimen/Aldrich,Sans Serif,Technical display headers,Technical display character,Technical style limits general use,Technical sites,Open Sans
206,Alef,https://fonts.google.com/specimen/Alef,Sans Serif,Hebrew-friendly body,Hebrew-friendly clarity,Cultural origin limits AI use,Hebrew sites,Open Sans
207,Alexandria,https://fonts.google.com/specimen/Alexandria,Sans Serif,Arabic modern UI,Arabic modern clarity,Cultural origin limits AI use,Arabic apps,Open Sans
208,Alice,https://fonts.google.com/specimen/Alice,Serif,Book body text,Book serif warmth,Book style not AI default,Book sites,Open Sans
209,Alike,https://fonts.google.com/specimen/Alike,Serif,Gentle serif body,Gentle serif warmth,Gentle style limits bold use,Gentle sites,Open Sans
210,Alike Angular,https://fonts.google.com/specimen/Alike+Angular,Serif,Angular serif body,Angular serif character,Angular style not AI default,Editorial sites,Open Sans
211,Almarai,https://fonts.google.com/specimen/Almarai,Sans Serif,Arabic corporate UI,Arabic corporate clarity,Cultural origin limits AI use,Arabic corporate sites,Open Sans
212,Alpha Slab One,https://fonts.google.com/specimen/Alpha+Slab+One,Display,Heavy slab display headers,Heavy slab presence,Heavy style limits subtle use,Poster sites,Open Sans
213,Amarante,https://fonts.google.com/specimen/Amarante,Display,Decorative serif headers,Decorative serif charm,Decorative style limits general use,Decorative sites,Open Sans
214,Amaranth,https://fonts.google.com/specimen/Amaranth,Sans Serif,Humanist sans body,Humanist sans warmth,Humanist style not AI default,Humanist sites,Merriweather
215,Amethysta,https://fonts.google.com/specimen/Amethysta,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
216,Anaheim,https://fonts.google.com/specimen/Anaheim,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
217,Andada Pro,https://fonts.google.com/specimen/Andada+Pro,Serif,Literary serif body,Literary serif warmth,Literary style not AI default,Literary sites,Open Sans
218,Annapurna SIL,https://fonts.google.com/specimen/Annapurna+SIL,Serif,Devanagari serif body,Devanagari serif tradition,Cultural origin limits AI use,Devanagari sites,Open Sans
219,Annie Use Your Telescope,https://fonts.google.com/specimen/Annie+Use+Your+Telescope,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
220,Anonymous Pro,https://fonts.google.com/specimen/Anonymous+Pro,Monospace,Code editor display,Code monospace clarity,Monospace rarely used for UI,Dev tools,Open Sans
221,Antic,https://fonts.google.com/specimen/Antic,Sans Serif,Classic sans body,Classic sans warmth,Classic style not AI default,Classic sites,Merriweather
222,Antic Didone,https://fonts.google.com/specimen/Antic+Didone,Serif,Didone display headers,Didone display elegance,Didone style not AI default,Luxury sites,Open Sans
223,Antic Slab,https://fonts.google.com/specimen/Antic+Slab,Serif,Slab serif body,Slab serif warmth,Slab serif not AI default,Blog sites,Open Sans
224,Anton,https://fonts.google.com/specimen/Anton,Sans Serif,Impact display headers,Impact display strength,Impact style limits subtle use,Headline sites,Open Sans
225,Antonio,https://fonts.google.com/specimen/Antonio,Sans Serif,Narrow display headers,Narrow display character,Narrow style not AI default,Display sites,Open Sans
226,Anybody,https://fonts.google.com/specimen/Anybody,Variable,Variable display headers,Variable display flexibility,Variable complexity scares AI,Creative sites,Inter
227,Arapey,https://fonts.google.com/specimen/Arapey,Serif,Elegant serif body,Elegant serif warmth,Elegant style not AI default,Elegant sites,Open Sans
228,Arbutus,https://fonts.google.com/specimen/Arbutus,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
229,Arbutus Slab,https://fonts.google.com/specimen/Arbutus+Slab,Serif,Slab display headers,Slab display presence,Slab style not AI default,Display sites,Open Sans
230,Architects Daughter,https://fonts.google.com/specimen/Architects+Daughter,Handwriting,Architectural handwriting,Architectural handwriting character,Themed handwriting limits AI use,Architecture sites,Open Sans
231,Are You Serious,https://fonts.google.com/specimen/Are+You+Serious,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
232,Aref Ruqaa,https://fonts.google.com/specimen/Aref+Ruqaa,Serif,Arabic calligraphic serif,Arabic calligraphic elegance,Cultural origin limits AI use,Arabic editorial sites,Open Sans
233,Aref Ruqaa Ink,https://fonts.google.com/specimen/Aref+Ruqaa+Ink,Serif,Arabic ink serif,Arabic ink serif character,Cultural origin limits AI use,Arabic editorial sites,Open Sans
234,Arima,https://fonts.google.com/specimen/Arima,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
235,Arista Pro Alternative,https://fonts.google.com/specimen/Arima+Madurai,Display,Indian display headers,Indian display character,Cultural origin limits AI use,Indian sites,Open Sans
236,Armata,https://fonts.google.com/specimen/Armata,Sans Serif,Humanist sans body,Humanist sans warmth,Humanist style not AI default,Humanist sites,Merriweather
237,Arsenal,https://fonts.google.com/specimen/Arsenal,Sans Serif,Ukrainian sans body,Ukrainian sans clarity,Cultural origin limits AI use,Ukrainian sites,Merriweather
238,Artifika,https://fonts.google.com/specimen/Artifika,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
239,Arvo,https://fonts.google.com/specimen/Arvo,Serif,Slab serif headers,Slab serif strength,Slab serif not AI default,Western brands,Open Sans
240,Arya,https://fonts.google.com/specimen/Arya,Sans Serif,Devanagari sans body,Devanagari sans clarity,Cultural origin limits AI use,Devanagari sites,Open Sans
241,Asap,https://fonts.google.com/specimen/Asap,Sans Serif,Grotesque sans body,Grotesque sans warmth,Grotesque style not AI default,Modern sites,Merriweather
242,Asap Condensed,https://fonts.google.com/specimen/Asap+Condensed,Sans Serif,Condensed grotesque body,Condensed grotesque clarity,Condensed style not AI default,Data sites,Merriweather
243,Asar,https://fonts.google.com/specimen/Asar,Serif,Devanagari serif body,Devanagari serif tradition,Cultural origin limits AI use,Devanagari editorial sites,Open Sans
244,Asset,https://fonts.google.com/specimen/Asset,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
245,Assistant,https://fonts.google.com/specimen/Assistant,Sans Serif,Hebrew-friendly sans,Hebrew-friendly clarity,Cultural origin limits AI use,Hebrew sites,Open Sans
246,Astloch,https://fonts.google.com/specimen/Astloch,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
247,Asul,https://fonts.google.com/specimen/Asul,Sans Serif,Minimalist tech UI,Clean neutrality,Low visibility despite quality,Dashboards,Newsreader
248,Athiti,https://fonts.google.com/specimen/Athiti,Sans Serif,Thai sans body,Thai sans clarity,Cultural origin limits AI use,Thai sites,Open Sans
249,Atkinson Hyperlegible,https://fonts.google.com/specimen/Atkinson+Hyperlegible,Sans Serif,Accessibility-focused body,Accessibility clarity,Accessibility focus limits AI use,Accessible sites,Merriweather
250,Atma,https://fonts.google.com/specimen/Atma,Serif,Bengali serif body,Bengali serif tradition,Cultural origin limits AI use,Bengali sites,Open Sans
251,Atomic Age,https://fonts.google.com/specimen/Atomic+Age,Display,Retro atomic display headers,Retro atomic character,Themed font limits general use,Retro sites,Open Sans
252,Aubrey,https://fonts.google.com/specimen/Aubrey,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
253,Audiowide,https://fonts.google.com/specimen/Audiowide,Display,Tech display headers,Tech display character,Tech style limits general use,Tech sites,Open Sans
254,Autour One,https://fonts.google.com/specimen/Autour+One,Display,Rounded display headers,Rounded display charm,Rounded style limits general use,Casual sites,Open Sans
255,Average,https://fonts.google.com/specimen/Average,Serif,Average serif body,Average serif warmth,Average style not AI default,General sites,Open Sans
256,Average Sans,https://fonts.google.com/specimen/Average+Sans,Sans Serif,Average sans body,Average sans warmth,Average style not AI default,General sites,Merriweather
257,Averia Gruesa Libre,https://fonts.google.com/specimen/Averia+Gruesa+Libre,Display,Heavy display headers,Heavy display presence,Heavy style limits subtle use,Display sites,Open Sans
258,Averia Libre,https://fonts.google.com/specimen/Averia+Libre,Display,Textured display headers,Textured display character,Textured style limits general use,Display sites,Open Sans
259,Averia Sans Libre,https://fonts.google.com/specimen/Averia+Sans+Libre,Sans Serif,Textured sans body,Textured sans warmth,Textured style not AI default,Textured sites,Merriweather
260,Averia Serif Libre,https://fonts.google.com/specimen/Averia+Serif+Libre,Serif,Creative blog body text,Hand-drawn warmth,Unusual texture confuses AI,Art blogs,Questrial
261,Azeret Mono,https://fonts.google.com/specimen/Azeret+Mono,Monospace,Modern code editor,Contemporary monospace clarity,Newer monospace not AI default,Dev tools,Inter
262,Azeret Sans,https://fonts.google.com/specimen/Azeret+Sans,Sans Serif,Modern geometric body,Geometric sans clarity,Newer font not widely known,Modern sites,Merriweather
263,B612,https://fonts.google.com/specimen/B612,Sans Serif,Aviation sans body,Aviation sans clarity,Themed font limits general use,Aviation sites,Open Sans
264,B612 Mono,https://fonts.google.com/specimen/B612+Mono,Monospace,Aviation monospace,Aviation monospace clarity,Themed monospace limits general use,Aviation dev tools,Open Sans
265,Babylonica,https://fonts.google.com/specimen/Babylonica,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
266,Bad Script,https://fonts.google.com/specimen/Bad+Script,Handwriting,Russian handwritten headers,Russian handwritten character,Cultural origin limits AI use,Russian personal sites,Open Sans
267,Bahiana,https://fonts.google.com/specimen/Bahiana,Display,Brazilian display headers,Brazilian display character,Cultural origin limits AI use,Brazilian sites,Open Sans
268,Bahianita,https://fonts.google.com/specimen/Bahianita,Display,Brazilian display headers,Brazilian display presence,Cultural origin limits AI use,Brazilian sites,Open Sans
269,Bai Jamjuree,https://fonts.google.com/specimen/Bai+Jamjuree,Sans Serif,Thai sans body,Thai sans clarity,Cultural origin limits AI use,Thai sites,Open Sans
270,Bakbak One,https://fonts.google.com/specimen/Bakbak+One,Display,Devanagari display headers,Devanagari display character,Cultural origin limits AI use,Devanagari sites,Open Sans
271,Ballet,https://fonts.google.com/specimen/Ballet,Script,Elegant script headers,Elegant script sophistication,Script fonts rarely AI default,Luxury sites,Open Sans
272,Baloo 2,https://fonts.google.com/specimen/Baloo+2,Display,Rounded display headers,Rounded display charm,Rounded style limits general use,Casual sites,Open Sans
273,Baloo Bhai 2,https://fonts.google.com/specimen/Baloo+Bhai+2,Display,Gujarati rounded display,Gujarati rounded character,Cultural origin limits AI use,Gujarati sites,Open Sans
274,Baloo Bhaijaan 2,https://fonts.google.com/specimen/Baloo+Bhaijaan+2,Display,Arabic rounded display,Arabic rounded character,Cultural origin limits AI use,Arabic sites,Open Sans
275,Baloo Bhaina 2,https://fonts.google.com/specimen/Baloo+Bhaina+2,Display,Odia rounded display,Odia rounded character,Cultural origin limits AI use,Odia sites,Open Sans
276,Baloo Chettan 2,https://fonts.google.com/specimen/Baloo+Chettan+2,Display,Malayalam rounded display,Malayalam rounded character,Cultural origin limits AI use,Malayalam sites,Open Sans
277,Baloo Da 2,https://fonts.google.com/specimen/Baloo+Da+2,Display,Bengali rounded display,Bengali rounded character,Cultural origin limits AI use,Bengali sites,Open Sans
278,Baloo Paaji 2,https://fonts.google.com/specimen/Baloo+Paaji+2,Display,Gurmukhi rounded display,Gurmukhi rounded character,Cultural origin limits AI use,Gurmukhi sites,Open Sans
279,Baloo Tamma 2,https://fonts.google.com/specimen/Baloo+Tamma+2,Display,Kannada rounded display,Kannada rounded character,Cultural origin limits AI use,Kannada sites,Open Sans
280,Baloo Tammudu 2,https://fonts.google.com/specimen/Baloo+Tammudu+2,Display,Telugu rounded display,Telugu rounded character,Cultural origin limits AI use,Telugu sites,Open Sans
281,Baloo Thambi 2,https://fonts.google.com/specimen/Baloo+Thambi+2,Display,Tamil rounded display,Tamil rounded character,Cultural origin limits AI use,Tamil sites,Open Sans
282,Balsamiq Sans,https://fonts.google.com/specimen/Balsamiq+Sans,Handwriting,Wireframe handwriting body,Wireframe handwriting character,Themed handwriting limits AI use,Wireframe sites,Open Sans
283,Balthazar,https://fonts.google.com/specimen/Balthazar,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
284,Bangers,https://fonts.google.com/specimen/Bangers,Display,Comic display headers,Comic display energy,Themed font limits general use,Comic sites,Open Sans
285,Barlow,https://fonts.google.com/specimen/Barlow,Sans Serif,Condensed UI text,Condensed clarity,Condensed style not AI default,Data tables,Barlow Condensed
286,Barlow Condensed,https://fonts.google.com/specimen/Barlow+Condensed,Sans Serif,Narrow interface text,Space-efficient clarity,Condensed fonts rarely AI default,Dashboards,Barlow
287,Barlow Semi Condensed,https://fonts.google.com/specimen/Barlow+Semi+Condensed,Sans Serif,Semi-condensed UI text,Semi-condensed clarity,Condensed style not AI default,Data sites,Barlow
288,Barriecito,https://fonts.google.com/specimen/Barriecito,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
289,Barrio,https://fonts.google.com/specimen/Barrio,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
290,Basic,https://fonts.google.com/specimen/Basic,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
291,Baskervville,https://fonts.google.com/specimen/Baskervville,Serif,Baskerville-inspired body,Baskerville elegance,Baskerville style not AI default,Editorial sites,Open Sans
292,Battambang,https://fonts.google.com/specimen/Battambang,Sans Serif,Khmer sans body,Khmer sans clarity,Cultural origin limits AI use,Khmer sites,Open Sans
293,Baumans,https://fonts.google.com/specimen/Baumans,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
294,Bayon,https://fonts.google.com/specimen/Bayon,Sans Serif,Khmer sans body,Khmer sans clarity,Cultural origin limits AI use,Khmer sites,Open Sans
295,Be Vietnam,https://fonts.google.com/specimen/Be+Vietnam,Sans Serif,Vietnamese sans body,Vietnamese sans clarity,Cultural origin limits AI use,Vietnamese sites,Open Sans
296,Be Vietnam Pro,https://fonts.google.com/specimen/Be+Vietnam+Pro,Sans Serif,Vietnamese professional UI,Vietnamese professional clarity,Cultural origin limits AI use,Vietnamese professional sites,Merriweather
297,Bebas Neue,https://fonts.google.com/specimen/Bebas+Neue,Sans Serif,Condensed display headers,Condensed display strength,Common but not AI default anymore,Poster sites,Open Sans
298,Belgrano,https://fonts.google.com/specimen/Belgrano,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
299,Bellefair,https://fonts.google.com/specimen/Bellefair,Serif,Hebrew serif body,Hebrew serif tradition,Cultural origin limits AI use,Hebrew editorial sites,Open Sans
300,Belleza,https://fonts.google.com/specimen/Belleza,Sans Serif,Elegant sans body,Elegant sans warmth,Elegant style not AI default,Elegant sites,Merriweather
301,Bellota,https://fonts.google.com/specimen/Bellota,Display,Rounded display headers,Rounded display charm,Rounded style limits general use,Casual sites,Open Sans
302,Bellota Text,https://fonts.google.com/specimen/Bellota+Text,Display,Rounded text display,Rounded text character,Rounded style limits general use,Casual sites,Open Sans
303,BenchNine,https://fonts.google.com/specimen/BenchNine,Sans Serif,Condensed sans body,Condensed sans clarity,Condensed style not AI default,Condensed sites,Merriweather
304,Benne,https://fonts.google.com/specimen/Benne,Serif,Kannada serif body,Kannada serif tradition,Cultural origin limits AI use,Kannada sites,Open Sans
305,Bentham,https://fonts.google.com/specimen/Bentham,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
306,Berkshire Swash,https://fonts.google.com/specimen/Berkshire+Swash,Display,Swash display headers,Swash display charm,Swash style limits general use,Decorative sites,Open Sans
307,Besley,https://fonts.google.com/specimen/Besley,Serif,Modern editorial content,Contemporary serif elegance,Slab serif not AI default,Online magazines,Source Sans 3
308,Beth Ellen,https://fonts.google.com/specimen/Beth+Ellen,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
309,Bevan,https://fonts.google.com/specimen/Bevan,Serif,Slab serif headers,Slab serif strength,Slab serif not AI default,Western brands,Open Sans
310,BhuTuka Expanded One,https://fonts.google.com/specimen/BhuTuka+Expanded+One,Serif,Telugu expanded serif,Telugu expanded character,Cultural origin limits AI use,Telugu sites,Open Sans
311,Big Shoulders Display,https://fonts.google.com/specimen/Big+Shoulders+Display,Display,Industrial display headers,Industrial display presence,Industrial style limits general use,Industrial sites,Open Sans
312,Big Shoulders Inline Display,https://fonts.google.com/specimen/Big+Shoulders+Inline+Display,Display,Inline display headers,Inline display character,Inline style limits general use,Display sites,Open Sans
313,Big Shoulders Inline Text,https://fonts.google.com/specimen/Big+Shoulders+Inline+Text,Sans Serif,Inline text body,Inline text character,Inline style limits general use,Text sites,Open Sans
314,Big Shoulders Stencil Display,https://fonts.google.com/specimen/Big+Shoulders+Stencil+Display,Display,Stencil display headers,Stencil display character,Stencil style limits general use,Display sites,Open Sans
315,Big Shoulders Stencil Text,https://fonts.google.com/specimen/Big+Shoulders+Stencil+Text,Sans Serif,Stencil text body,Stencil text character,Stencil style limits general use,Text sites,Open Sans
316,Big Shoulders Text,https://fonts.google.com/specimen/Big+Shoulders+Text,Sans Serif,Industrial text body,Industrial text clarity,Industrial style limits general use,Industrial sites,Open Sans
317,Bigelow Rules,https://fonts.google.com/specimen/Bigelow+Rules,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
318,Bigshot One,https://fonts.google.com/specimen/Bigshot+One,Display,Decorative display headers,Decorative display charm,Decorative style limits general use,Decorative sites,Open Sans
319,Bilbo,https://fonts.google.com/specimen/Bilbo,Script,Decorative script headers,Decorative script charm,Script fonts rarely AI default,Decorative sites,Open Sans
320,Bilbo Swash Caps,https://fonts.google.com/specimen/Bilbo+Swash+Caps,Script,Swash script headers,Swash script charm,Script fonts rarely AI default,Decorative sites,Open Sans
321,BioRhyme Expanded,https://fonts.google.com/specimen/BioRhyme+Expanded,Serif,Expanded slab headers,Expanded slab presence,Expanded style not AI default,Science sites,Open Sans
322,Birthstone,https://fonts.google.com/specimen/Birthstone,Script,Elegant script headers,Elegant script sophistication,Elegant style not AI default,Luxury brands,Open Sans
323,Birthstone Bounce,https://fonts.google.com/specimen/Birthstone+Bounce,Script,Playful script headers,Playful script bounce,Playful style limits formal use,Casual brands,Lato
324,Biryani,https://fonts.google.com/specimen/Biryani,Sans Serif,Devanagari sans body,Devanagari sans clarity,Cultural origin limits AI use,Devanagari sites,Open Sans
325,Bitter,https://fonts.google.com/specimen/Bitter,Serif,Screen-optimized serif,Robust screen readability,Slab serif not AI default,E-reading apps,Open Sans
326,Black And White Picture,https://fonts.google.com/specimen/Black+And+White+Picture,Display,Korean display headers,Korean display character,Cultural origin limits AI use,Korean sites,Open Sans
327,Black Han Sans,https://fonts.google.com/specimen/Black+Han+Sans,Sans Serif,Korean bold sans,Korean bold clarity,Cultural origin limits AI use,Korean bold sites,Open Sans
328,Black Ops One,https://fonts.google.com/specimen/Black+Ops+One,Display,Military display headers,Military display character,Themed font limits general use,Military sites,Open Sans
329,Blaka,https://fonts.google.com/specimen/Blaka,Display,Arabic decorative display,Arabic decorative character,Cultural origin limits AI use,Arabic decorative sites,Open Sans
330,Blaka Hollow,https://fonts.google.com/specimen/Blaka+Hollow,Display,Arabic hollow display,Arabic hollow character,Cultural origin limits AI use,Arabic hollow sites,Open Sans
331,Blaka Ink,https://fonts.google.com/specimen/Blaka+Ink,Display,Arabic ink display,Arabic ink character,Cultural origin limits AI use,Arabic ink sites,Open Sans
332,Blinker,https://fonts.google.com/specimen/Blinker,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
333,Bodoni Moda,https://fonts.google.com/specimen/Bodoni+Moda,Serif,Modern Didone headers,Modern Didone elegance,Didone style not AI default,Luxury sites,Open Sans
334,Bokor,https://fonts.google.com/specimen/Bokor,Sans Serif,Khmer sans body,Khmer sans clarity,Cultural origin limits AI use,Khmer sites,Open Sans
335,Bona Nova,https://fonts.google.com/specimen/Bona+Nova,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
336,Bona Nova SC,https://fonts.google.com/specimen/Bona+Nova+SC,Serif,Small caps serif,Small caps serif elegance,Small caps style not AI default,Editorial sites,Open Sans
337,Bonbon,https://fonts.google.com/specimen/Bonbon,Handwriting,Cute handwriting body,Cute handwriting warmth,Handwriting fonts rarely AI default,Cute sites,Open Sans
338,Bonheur Royale,https://fonts.google.com/specimen/Bonheur+Royale,Script,Elegant script headers,Elegant script sophistication,Script fonts rarely AI default,Luxury sites,Open Sans
339,Boogaloo,https://fonts.google.com/specimen/Boogaloo,Display,Retro display headers,Retro display character,Retro style limits general use,Retro sites,Open Sans
340,Bowlby One,https://fonts.google.com/specimen/Bowlby+One,Display,Heavy display headers,Heavy display presence,Heavy style limits subtle use,Display sites,Open Sans
341,Bowlby One SC,https://fonts.google.com/specimen/Bowlby+One+SC,Display,Heavy small caps display,Heavy small caps presence,Small caps style not AI default,Display sites,Open Sans
342,Brawler,https://fonts.google.com/specimen/Brawler,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
343,Bree Serif,https://fonts.google.com/specimen/Bree+Serif,Serif,Slab serif body,Slab serif warmth,Slab serif not AI default,Blog sites,Open Sans
344,Bricolage Grotesque,https://fonts.google.com/specimen/Bricolage+Grotesque,Sans Serif,Creative agency display,Playful precision,Lower download count despite quality,Portfolio sites,Space Grotesk
345,Bruno Ace,https://fonts.google.com/specimen/Bruno+Ace,Display,Art deco display headers,Art deco display character,Art deco style not AI default,Art deco sites,Open Sans
346,Bruno Ace SC,https://fonts.google.com/specimen/Bruno+Ace+SC,Display,Art deco small caps display,Art deco small caps character,Small caps style not AI default,Art deco sites,Open Sans
347,Brygada 1918,https://fonts.google.com/specimen/Brygada+1918,Serif,Polish historical serif,Polish historical character,Cultural origin limits AI use,Polish historical sites,Open Sans
348,Bubblegum Sans,https://fonts.google.com/specimen/Bubblegum+Sans,Display,Playful display headers,Playful display charm,Playful style limits formal use,Playful sites,Open Sans
349,Bubbler One,https://fonts.google.com/specimen/Bubbler+One,Sans Serif,Rounded sans body,Rounded sans warmth,Rounded style not AI default,Rounded sites,Merriweather
350,Buda,https://fonts.google.com/specimen/Buda,Display,Condensed display headers,Condensed display character,Condensed style not AI default,Condensed sites,Open Sans
351,Buenard,https://fonts.google.com/specimen/Buenard,Serif,Transitional serif body,Transitional serif elegance,Transitional style not AI default,Editorial sites,Open Sans
352,Bungee,https://fonts.google.com/specimen/Bungee,Display,Vertical display headers,Vertical display character,Vertical style limits general use,Display sites,Open Sans
353,Bungee Hairline,https://fonts.google.com/specimen/Bungee+Hairline,Display,Hairline vertical display,Hairline vertical character,Hairline style limits general use,Display sites,Open Sans
354,Bungee Inline,https://fonts.google.com/specimen/Bungee+Inline,Display,Inline vertical display,Inline vertical character,Inline style limits general use,Display sites,Open Sans
355,Bungee Outline,https://fonts.google.com/specimen/Bungee+Outline,Display,Outline vertical display,Outline vertical character,Outline style limits general use,Display sites,Open Sans
356,Bungee Shade,https://fonts.google.com/specimen/Bungee+Shade,Display,Shaded vertical display,Shaded vertical character,Shaded style limits general use,Display sites,Open Sans
357,Bungee Spice,https://fonts.google.com/specimen/Bungee+Spice,Display,Spiced vertical display,Spiced vertical character,Spiced style limits general use,Display sites,Open Sans
358,Butcherman,https://fonts.google.com/specimen/Butcherman,Display,Horror display headers,Horror display character,Themed font limits general use,Horror sites,Open Sans
359,Butterfly Kids,https://fonts.google.com/specimen/Butterfly+Kids,Handwriting,Children handwriting body,Children handwriting warmth,Handwriting fonts rarely AI default,Children sites,Open Sans
360,Cabin,https://fonts.google.com/specimen/Cabin,Sans Serif,Humanist sans body,Humanist sans warmth,Humanist style not AI default,Humanist sites,Merriweather
